Lei de Diretrizes Orçamentárias | LDO
Plano Geral de Informações Estatísticas e Geográficas | PGIEG
Plano Nacional de Habitação Popular | Planhap
Plano Nacional de Políticas para as Mulheres | PNPM
Plano Nacional de Reforma Agrária | PNRA
Plano Nacional de Saneamento | Planase
Plano Nacional de Segurança Pública | PNSP
Plano Rodoviário para a Interiorização do Desenvolvimento | Proinde
Plano de Aceleração do Crescimento | PAC
Plano da Lavoura Cacaueira | CEPLAC
Plano de Amparo ao Servidor Público | Pasep
Plano de Atendimento à Saúde | PAS
Plano de Ação Econômica do Governo | PAEG
Plano de Ação Imediata | PAI
Plano de Ação de Governo | PAG
Plano de Ação do Governo | Copag 
Plano de Ação do Governo do Estado | PAGE
Plano de Demissão Voluntária | PDV
Plano de Desenvolvimento da Educação | PDE
Plano de Integração Social | PIS
Plano de Integração Nacional | PIN
Plano de Metas do Governo | Plameg
Plano de Valorização Econômica da Amazônia | SPVEA
Plano Estratégico de Desenvolvimento | PED
Plano Estadual de Desestatização | PED
