Academia Cultural de Curitiba | ACCUR
Agência Especial de Financiamento Industrial | Finame
Agência Nacional de Aviação Civil | Anac
Agência Nacional de Telecomunicações | ANATEL
Agência Nacional de Águas | ANA
Agência Promotora de Exportações | Apex
Agência de Desenvolvimento do Ceará | Adece
Aliança Nacional Libertadora | ANL
Aliança Renovadora Nacional | Arena
Aquisição e Administação de Patrimônios | AAP
Associação Atlética Banco do Brasil | AABB
Associação Baiana de Criadores | Abac
Associação Beneficente Cearense de Reabilitação | ABCR
Associação Brasileira Interdisciplinar da Aids | ABIA
Associação Brasileira da Indústria Farmacêutica | ABIF
Associação Brasileira da Indústria Têxtil e de Confecções | ABIT
Associação Brasileira da Indústria de Café | ABIC
Associação Brasileira de Bancos de Desenvolvimento | ABDE
Associação Brasileira de Educação | ABE
Associação Brasileira de Empresas de Televisão | Abrate
Associação Brasileira de Imprensa | ABI
Associação Brasileira de Normas Técnicas | ABNT
Associação Brasileira de Produtores de Milho | Abramilho
Associação Brasileira de Recursos Hídricos | ABRH
Associação Brasileira de Reforma Agrária | ABRA
Associação Brasileira dos Municípios | ABM
Associação Catarinense de Supermercados | Acats
Associação Comercial da Barra da Tijuca | Acibarra
Associação Comercial de São Paulo | ACSP
Associação Comercial do Rio de Janeiro | ACRJ
Associação Nacional das Universidades Particulares | ANUP
Associação Nacional de Bancos de Investimentos | Anbid
Associação Paulista de Citricultura | Associtrus
Associação Paulista de Magistrados | APM
Associação Promotora de Estudos de Economia | Apec
Associação das Emissoras de São Paulo | AESP
Associação das Magistrados Mineiros | Amagis
Associação de Crédito e Assistência Rural | ACAR 
Associação de Crédito e Assistência Rural de Mato Grosso | Acarmat
Associação de Crédito e Assistência Rural do Estado de Santa Catarina | ACARESC
Associação do Comércio Exterior do Brasil | AEB
Associação dos Diplomados da Escola Superior de Guerra | ADESG
Associação dos Estudantes Secundaristas da Bahia | AESB
Associação dos Juízes Federais do Brasil | AJUFE
Associação dos Licenciados em Santa Catarina | Alisc
Associação dos Magistrados Brasileiros | AMB
Associação dos Municípios Alagoanos | AMA
Associação dos Municípios da Alta Noroeste | AMAN
Associação dos Municípios do Extremo Noroeste | AMENSP
Associação dos Países Produtores de Café | APPC
Associação dos Produtores de Côco | Prococo
Ação Democrática Parlamentar | ADP
Banco Interamericano de Desenvolvimento | BID
Banco Nacional da Habitação | BNH
Banco Nacional de Crédito Cooperativo| BNCC
Banco Nacional de Desenvolvimento Econômico | BNDE
Banco Nacional de Habitação | BNH
Banco Nacional do Desenvolvimento Econômico Social | BNDES
Banco Société Génerale | Sogeral
Banco União Comercial | BUC
Banco de Desenvolvimento de Minas Gerais | BDMG
Banco de Desenvolvimento de São Paulo | Badesp
Banco de Desenvolvimento do Paraná | Badep
Banco do Estado da Bahia | Baneb
Banco do Estado de Goiás | BEG
Banco do Estado de Mato Grosso | Bemat
Banco do Estado de Minas Gerais | Bemge
Banco do Nordeste do Brasil | BNB
Bolsa de Valores de São Paulo | Bovespa
Caixa Econômica Federal | CEF
Caixa de Previdência | Previcaixa 
Campanha Nacional de Educandários da Comunidade | CNEC
Campanha Nacional de Escolas Comunidade | CNEC
Campanha Nacional de Escolas da Comunidade | CNEC
Associação Brasileira de Indústrias Gráficas | Abigraf
Centrais Elétricas Brasileiras | Eletrobrás
Centrais Elétricas Sul do Brasil | Eletrosul
Centrais Elétricas de Goiás | Celg
Centrais Elétricas de Santa Catarina | Celesc
Centrais Elétricas de São Paulo | CESP
Centrais Elétricas de Urubupungá S.A. | Celusa
Centrais Elétricas do Maranhão | Cemar
Centrais Elétricas do Norte do Brasil | Eletronorte
Centrais Elétricas do Rio das Contas | CERC
Centrais Elétricas do Sul do Brasil | Eletrosul
Central Autônoma dos Trabalhadores | CAT 
Central de Abastecimento de Santa Catarina | Ceasa
Central de Medicamentos | CEME
Central Única dos Trabalhadores | CUT
Centro Acadêmico Cândido de Oliveira | CACO
Centro Brasil Democrático | Cebrade
Centro Brasileiro de Análise e Planejamento | Cebrap
Centro Brasileiro de Apoio à Pequena e Média Empresa | Cebrae
Centro Brasileiro de Apoio às Micro e Pequenas Empresas | Cebrae 
Centro Brasileiro de Estudos Latino-Americanos | Cebela
Centro Brasileiro de Estudos da Saúde | CEBES
Centro Ibero-Americano de Desenvolvimento Estratégico Urbano | CIDEU
Centro Industrial do Brasil | CIB
Centro Industrial do Rio de Janeiro | CIRJ
Centro Sportivo Alagoano | CSA
Centro das Indústrias de São Paulo | CIESP
Centro das Indústrias do Rio Grande do Sul | CIERGS
Centro de Ensino Unificado de Brasília | CEUB
Centro de Estudos de Cultura Contemporânea | Cedec
Centro de Estudos e Debates do Gurguéia | Cedeg
Centro de Integração Empresa-Escola | Ciee
Centro de Pesquisa e Documentação de História Contemporânea do Brasil | Cpdoc
Centro de Preparação de Oficiais da Reserva | CPOR
Clube de Regatas Brasil | CRB
Colégio Adventista Brasileiro | CAB
Colégio Estadual Rio Branco | Cerb
Colégio Moderno faculdades Integradas | FICOM
Comando Geral dos Trabalhadores | CGT
Comissão Nacional de Erradicação do Trabalho Infantil | Conaeti
Comitê Olímpico Brasileiro | COB
Comitê para o Desenvolvimento Integral da Primeira Infância | Codipi
Companhia Agrícola de Mato Grosso | Camat
Companhia de Águas, Esgoto e Saneamento | CAES
Companhia Auxiliar de Empresas de Mineração | Caemi
Companhia Brasileira de Participação | Cobrapar
Companhia Brasileira de Trens Urbanos | CBTU 
Companhia Brasileira de Alimentos | Cobal
Companhia Brasileira de Investimentos | CBI
Companhia Catarinense de Água e Esgoto | CASAN
Companhia Catarinense de Águas e Saneamento | Casan
Companhia Energética de São Paulo | CESP
Companhia Estadual de Energia Elétrica | CEEE
Companhia Estadual de Habitação | Cehab
Companhia Estadual de Águas | Cedag
Companhia Geral de Laminação | Cogeral
Companhia Habitacional | Cohab
Companhia Habitacional do Maranhão | Cohab/MA
Companhia Hidrelétrica de Boa Esperança | Cohebe
Companhia Hidro Elétrica do São Francisco | CHESF
Companhia Industrial de Produtos Alimentícios | CIPA
Companhia Industrial do Ceará | CDI
Companhia Metropolitana de Habitação de São Paulo | Cohab-SP
Companhia Mineradora de Minas Gerais | Comig
Companhia Municipal de Transportes Coletivos | CMTC
Companhia Nacional de Abastecimento | CONAB
Companhia Paranaense de Energia | Copel
Companhia Paulista de Força e Luz | CPFL
Companhia Pernambucana de Borracha Sintética | Coperbo
Companhia Progresso do Estado da Guanabara | Copeg
Companhia Prudentina de Desenvolvimento | Prudenco
Companhia Química de Laminados | Formiplac
Companhia Real Holandesa de Aviação | KLM
Companhia Regional de Abastecimento Integrado de Santo André | CRAISA
Companhia Rio-grandense de Saneamento | Corsan
Companhia Siderúrgica Nacional | CSN
Companhia Siderúrgica Paulista | Cosipa
Companhia Siderúrgica de Tubarão | CST
Companhia Urbanizadora da Nova Capital | Novacap
Companhia Urbanizadora da Serra do Curral | Ciurbe
Companhia Vale do Rio Doce | CVRD
Companhia das Docas do Estado da Bahia | Codeba
Companhia das Docas do Estado do Espírito | Codesa
Companhia de Armazenamento Geral do Estado de Pernambuco | CAGEP
Companhia de Armazéns Gerais do Estado de São Paulo | CAGESP
Companhia de Armazéns e Silos | Casemat
Companhia de Comércio e Participação | Copar
Companhia de Desenvolvimento Agrícola de São Paulo | CODASP
Companhia de Desenvolvimento Agrícola do Estado de São Paulo | CODASP
Companhia de Desenvolvimento da Região Metropolitana | Conder
Companhia de Desenvolvimento de Londrina | Codel
Companhia de Desenvolvimento de Mogi das Cruzes | Codema
Companhia de Desenvolvimento de Roraima | CODESAIMA
Companhia de Desenvolvimento de Vitória | CDV
Companhia de Desenvolvimento do Paraná | Codepar
Companhia de Desenvolvimento do Vale do São Francisco | Codevasf
Companhia de Eletricidade da Bahia | Coelba
Companhia de Eletricidade da Bahia | Cotelba
Companhia de Eletricidade de Borborema | Celb
Companhia de Eletricidade de Pernambuco | Celpe
Companhia de Eletricidade do Acre | Eletroacre
Companhia de Eletricidade do Amapá | CEA
Companhia de Eletricidade do Estado do Rio de Janeiro | CERJ
Companhia de Entrepostos e Armazéns Gerais do Estado de São Paulo | CEAGESP
Companhia de Geração Térmica de Energia Elétrica | CGTEE
Companhia de Habitação | Cohab
Companhia de Habitação Popular | Cohab 
Companhia de Habitação Popular do Estado da Guanabara | Cohab
Companhia de Habitação do Ceará | COHAB-CE
Companhia de Habitação do Paraná | Cohapar 
Companhia de Mineração de Rondônia | CMR
