lemma,poscode,surface
Aarão Rebelo,3,Aarão Rebelo
Aarão Steinbruch,3,Aarão Steinbruch
Abalcazar Garcia,3,Abalcazar Garcia
Abdias Do Nascimento,3,Abdias Do Nascimento
Abdon Goncalves Nanhay,3,Abdon Goncalves Nanhay
Abdon Gonçalves,3,Abdon Gonçalves
Abdon Sena,3,Abdon Sena
Abdon de Mello,3,Abdon de Mello
Abdur R. Khan,3,Abdur R. Khan
Abel Avila dos Santos,3,Abel Avila dos Santos
Abel Braga ,3,Abel Braga 
Abel Chermont,3,Abel Chermont
Abel Guimarães Porto,3,Abel Guimarães Porto
Abel Jose dos Santos,3,Abel Jose dos Santos
Abel Matutes Juan,3,Abel Matutes Juan
Abel Pinheiro Maciel Filho,3,Abel Pinheiro Maciel Filho
Abel Rafael Pinto,3,Abel Rafael Pinto
Abel Rafael,3,Abel Rafael
Abel Sauerbronn de Azevedo Magalhães,3,Abel Sauerbronn de Azevedo Magalhães
Abel de Abreu Chermont,3,Abel de Abreu Chermont
Abel de Moraes Lyra,3,Abel de Moraes Lyra
Abel dos Santos Lima,3,Abel dos Santos Lima
Abel dos Santos,3,Abel dos Santos
Abel Ávila,3,Abel Ávila
Abelardo Andréia,3,Abelardo Andréia
Abelardo Bretanha Bueno Do Prado,3,Abelardo Bretanha Bueno Do Prado
Abelardo Calafange,3,Abelardo Calafange
Abelardo Camarinha,3,Abelardo Camarinha
Abelardo Fortuna Andreia dos Santos,3,Abelardo Fortuna Andreia dos Santos
Abelardo Jurema,3,Abelardo Jurema
Abelardo Leão Conduru,3,Abelardo Leão Conduru
Abelardo Luis Lupion Melo,3,Abelardo Luis Lupion Melo
Abelardo Lupion,3,Abelardo Lupion
Abelardo Luz,3,Abelardo Luz
Abelardo Marinho de Albuquerque Andrade,3,Abelardo Marinho de Albuquerque Andrade
Abelardo Marinho,3,Abelardo Marinho
Abelardo Mata,3,Abelardo Mata
Abelardo Melo,3,Abelardo Melo
Abelardo Parente,3,Abelardo Parente
Abelardo Roças,3,Abelardo Roças
Abelardo Torres da Silva Castro,3,Abelardo Torres da Silva Castro
Abelardo Venceslau da Luz,3,Abelardo Venceslau da Luz
Abelardo Vergueiro Cesar,3,Abelardo Vergueiro Cesar
Abelardo de Araújo Jurema,3,Abelardo de Araújo Jurema
Abelardo de Brito,3,Abelardo de Brito
Abelardo de Lima Puccine,3,Abelardo de Lima Puccine
Abelardo de Moraes Carneiro,3,Abelardo de Moraes Carneiro
Abelardo dos Santos Mata,3,Abelardo dos Santos Mata
Abgar Antonio Campos Tirado,3,Abgar Antonio Campos Tirado
Abgar Renault,3,Abgar Renault
Abgar de Castro Araujo Renault,3,Abgar de Castro Araujo Renault
Abguar Bastos Damasceno,3,Abguar Bastos Damasceno
Abguar Bastos,3,Abguar Bastos
Abigail Feitosa,3,Abigail Feitosa
Abilio Faustino de Assis,3,Abilio Faustino de Assis
Abilon de Sousa Naves,3,Abilon de Sousa Naves
Abner Mourão,3,Abner Mourão
Abraao Fidelis de Moura,3,Abraao Fidelis de Moura
Abraham Karos,3,Abraham Karos
Abrahama Quiroga,3,Abrahama Quiroga
Abrahão Miguel,3,Abrahão Miguel
Abram Szajman,3,Abram Szajman
Abraão Moura,3,Abraão Moura
Abraão Reis,3,Abraão Reis
Abraão Ribeiro,3,Abraão Ribeiro
Abraão Sabbá,3,Abraão Sabbá
Abrelino Moraes Pinto,3,Abrelino Moraes Pinto
Abreu Lima,3,Abreu Lima
Abreu Sodré,3,Abreu Sodré
Abílio Coutinho,3,Abílio Coutinho
Abílio Diniz,3,Abílio Diniz
Abílio Fernandes,3,Abílio Fernandes
Abílio José da Silva,3,Abílio José da Silva
Abílio de Assis,3,Abílio de Assis
Achille Bassi,3,Achille Bassi
Achrises Gonçalves dos Santos,3,Achrises Gonçalves dos Santos
Acildon de Matos Pae,3,Acildon de Matos Pae
Acilino de Leao Rodrigues,3,Acilino de Leao Rodrigues
Acilino de Leão,3,Acilino de Leão
Acioly Borges,3,Acioly Borges
