<OUTPUT SRCFILE="10955.raw">
** ** Fz 1 -
COUTINHO coutinho NP00O00 1 -
, , Fc 1 -
Ricardo ricardo NCMS000 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
pref pref NCMS000 1 -
. . Fp 1 -

João_Pessoa joão_pessoa NP00SP0 1 -
2005 2005 Z 1 -
- - Fg 1 -
* * Fz 1 -
Ricardo_Vieira_Coutinho ricardo_vieira_coutinho NP00SP0 1 -
*** *** Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242591
em em SP 1 -
João_Pessoa joão_pessoa NP00SP0 1 -
( ( Fpa 1 -
PB pb NP00V00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_18_de_novembro_de_1960 [??:18/11/1960:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0045425/09992837-n:0.00436227/10373998-n:0.00424457/09918248-n:0.00412653/09871229-n:0.00398716/09918762-n:0.00365903
de de SP 1 -
Coriolano_Coutinho coriolano_coutinho NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Natércia_Vieira natércia_vieira NP00SP0 1 -
. . Fp 1 -

Formado formar VMP00SM 0.97619 01659248-v:0.0100597/00142191-v:0.00980209
em em SP 1 -
farmácia farmácia NCFS000 1 03249342-n:0.017974
por por SP 1 -
a o DA0FS0 1 -
Universidade_Federal_da_Paraíba universidade_federal_da_paraíba NP00O00 1 -
( ( Fpa 1 -
UFPB ufpb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
