<OUTPUT SRCFILE="11028.raw">
** ** Fz 1 -
FERRAÇO ferraço NP00O00 1 -
, , Fc 1 -
Ricardo ricardo NCMS000 1 -
** ** Fz 1 -
** ** Fz 1 -
\ \ Fh 1 -
*** *** Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

ES es NCFP000 0.381512 -
1999-2003 1999-2003 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Ricardo ricardo NCMS000 1 -
de de SP 1 -
Resende_Ferraço resende_ferraço NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.021228
em em SP 1 -
Cachoeiro_de_Itapemirim cachoeiro_de_itapemirim NP00G00 1 -
( ( Fpa 1 -
ES es NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_17_de_agosto_de_1963 [??:17/8/1963:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0039785/09992837-n:0.00381856/10373998-n:0.00371509/09918248-n:0.00361136/09871229-n:0.00348884/09918762-n:0.00320172
de de SP 1 -
Teodorico_de_Assis_Ferraço_Filho teodorico_de_assis_ferraço_filho NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Marília_de_Resende_Ferraço marília_de_resende_ferraço NP00V00 1 -
. . Fp 1 -

Seu seu DP3MSS 0.957305 -
pai pai NCMS000 1 10080869-n:0.00525944/10399491-n:0.00421771/09988063-n:0.00398235/10944902-n:0.00377856
foi ir VMIS3S0 0.5 01835496-v:0.0019617/02051694-v:0.00112085/01955984-v:0.00104739/01995549-v:0.00102003/02072849-v:0.00100428/01904930-v:0.000949813/02009433-v:0.000943675/01935233-v:0.000914346/01957529-v:0.000912389/02102398-v:0.000884411/00341560-v:0.0008699/01882814-v:0.000819619/02058994-v:0.00081722/02685951-v:0.000813896/02102002-v:0.000809674/01846916-v:0.000808943/01849221-v:0.00080126/01841079-v:0.000769486/02686471-v:0.00074658/01839538-v:0.000728547/00343898-v:0.00071801
