<OUTPUT SRCFILE="11099.raw">
** ** Fz 1 -
GRINGS grings NP00O00 1 -
, , Fc 1 -
Dadeus dadeus NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
religioso religioso AQ0MS00 0.627379 01783158-a:0.0124593/02085740-a:0.0119337/01781478-a:0.0114/02056265-a:0.0108826
; ; Fx 1 -
arceb arceb NCMS000 1 -
. . Fp 1 -

Porto porto NP00G00 1 08633957-n:0.0102197/08639058-n:0.00951971
Alegre alegrar VMSP3S0 0.159904 01813499-v:0.00969518/00859325-v:0.00896541
2001 2001 Z 1 -
- - Fg 1 -
    Fz 1 -
* * Fz 1 -
Dadeus_Grings dadeus_grings NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0188753
em em SP 1 -
Nova_Petrópolis nova_petrópolis NP00G00 1 -
( ( Fpa 1 -
RS rs NP00V00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_7_de_setembro_de_1936 [??:7/9/1936:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00354622/09992837-n:0.00339723/10373998-n:0.00330449/09918248-n:0.00321103/09871229-n:0.0031013/09918762-n:0.00284609
de de SP 1 -
José_Grings josé_grings NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Maria_Margarida_Büttenbender_Grings maria_margarida_büttenbender_grings NP00V00 1 -
. . Fp 1 -

Seu seu DP3MSS 0.957305 -
nome nome NCMS000 1 06333653-n:0.00335171/06319293-n:0.00268243/06337307-n:0.0024449/06317862-n:0.0023192/06320004-n:0.00228897/06338908-n:0.00216288/06720964-n:0.0021595
foi ir VMIS3S0 0.5 01835496-v:0.00181142/02051694-v:0.00101184/01955984-v:0.000954176/01995549-v:0.000929907/02072849-v:0.000913514/01904930-v:0.000878719/02009433-v:0.000857287/01935233-v:0.000830004/01957529-v:0.000826358/02102398-v:0.000803021/00341560-v:0.000790771/01882814-v:0.000745235/02685951-v:0.000743985/02058994-v:0.000743943/01846916-v:0.000736281/02102002-v:0.0007332/01849221-v:0.00073029/01841079-v:0.000700311/02686471-v:0.000678518/01839538-v:0.000662671/00343898-v:0.000652609
fruto fruto NCMS000 0.914009 13134947-n:0.00565718/07742704-n:0.00513336/04612722-n:0.00486623
de de SP 1 -
um um DI0MS0 0.877848 -
erro erro NCMS000 0.97619 00070965-n:0.00185641/05893653-n:0.00169427/04802629-n:0.00165268/00066636-n:0.00151212/06769392-n:0.00144494/00073828-n:0.00143714/05895465-n:0.00143499/05895723-n:0.00140796/00074524-n:0.00134786/04853765-n:0.00134172/00072068-n:0.00128685/04802776-n:0.0012854
de de SP 1 -
datilografia datilografia NCFS000 1 06403107-n:0.0142348
em em SP 1 -
sua seu DP3FSS 0.929764 -
certidão certidão NCFS000 1 -
de de SP 1 -
nascimento nascimento NCMS000 1 07320302-n:0.00533431/15142167-n:0.00519617/13532886-n:0.00519111
que que PR0CN00 0.584265 -
deveria dever VMIC3S0 0.65 02254155-v:0.00772083/02253956-v:0.00745383
ter ter VMN0000 0.533333 00065639-v:0.00584003/00065370-v:0.00407747/02204692-v:0.00401948/02632167-v:0.00384415
registrado registrar VMP00SM 1 02471690-v:0.00415159/02471327-v:0.00406882/01020356-v:0.0038967/01002481-v:0.00362495
Tadeu tadeu NP00SP0 1 -
. . Fp 1 -

Cursou cursar VMIS3S0 1 -
o o DA0MS0 0.950254 -
ensino ensino NCMS000 0.993421 00883297-n:0.0249703
fundamental fundamental AQ0CS00 0.596154 01277097-a:0.027325/02349604-a:0.00535099/00656132-a:0.00462002/01856419-a:0.00449316/00901060-a:0.00447666
em em SP 1 -
a o DA0FS0 1 -
Escola_Paroquial_de_Nova_Petrópolis escola_paroquial_de_nova_petrópolis NP00G00 1 -
e e CC 0.999951 -
o o DA0MS0 0.950254 -
básico básico AQ0MS00 1 01277097-a:0.027325
em em SP 1 -
o o DA0MS0 1 -
Seminário_Menor_de_São_José_de_Gravataí seminário_menor_de_são_josé_de_gravataí NP00O00 1 -
( ( Fpa 1 -
RS rs NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Em em SP 1 -
1955 1955 Z 1 -
, , Fc 1 -
seguiu seguir VMIS3S0 1 02634265-v:0.00640732/02720354-v:0.00576578/01995549-v:0.00488927/02025550-v:0.00485193/01998432-v:0.00464683/01991931-v:0.00464459
para para SP 0.999444 -
Roma roma NP00G00 1 -
e e CC 0.999951 -
formou formar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
filosofia filosofia NCFS000 1 05943300-n:0.0109146/06158346-n:0.0102025/05944686-n:0.00879348
e e CC 0.999951 -
teologia teologia NCFS000 1 06182144-n:0.0107132/00613973-n:0.00974811/06183899-n:0.00942085
em em SP 1 -
a o DA0FS0 1 -
Universidade_Gregoriana universidade_gregoriana NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
mesma mesmo DD0FS0 0.015873 -
universidade universidade NCFS000 1 04511002-n:0.011313/08286569-n:0.00974061/08278324-n:0.00968695/08278169-n:0.00872924/08286163-n:0.00841808
, , Fc 1 -
especializou especializar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
direito direito NCMS000 0.936047 -
canônico canônico AQ0MS00 0.790623 03001527-a:0.0102053/03001653-a:0.0099849/02295298-a:0.00970136/01690244-a:0.00967422
. . Fp 1 -

Em em SP 1 -
1961 1961 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00637259/02051694-v:0.00373171/01955984-v:0.00344895/01995549-v:0.00336543/02072849-v:0.00333659/02009433-v:0.00311993/01904930-v:0.00307917/01935233-v:0.00304439/01957529-v:0.00298428/02102398-v:0.00292903/00341560-v:0.00288778/01882814-v:0.0027258/02058994-v:0.00271319/02685951-v:0.00269794/01846916-v:0.00268928/02102002-v:0.00268879/01849221-v:0.00265806/01841079-v:0.00255894/02686471-v:0.0024854/01839538-v:0.00242615/00343898-v:0.00239024
ordenado ordenar VMP00SM 0.684421 00277659-v:0.0147979/01474209-v:0.0142043/00279239-v:0.0141272/00276883-v:0.0138337
sacerdote sacerdote NCMS000 1 09927451-n:0.0137489/09983572-n:0.0125874/10470779-n:0.0124925/10471250-n:0.0115857/10464178-n:0.0112634
. . Fp 1 -

A_partir_de a_partir_de SP 1 -
1964 1964 Z 1 -
, , Fc 1 -
assumiu assumir VMIS3S0 1 00632236-v:0.0188559/00524682-v:0.0187863/02381726-v:0.018566
a o DA0FS0 0.675415 -
Igreja_de_São_Geraldo igreja_de_são_geraldo NP00O00 1 -
, , Fc 1 -
em em SP 1 -
