<OUTPUT SRCFILE="11145.raw">
KOBAYASHI kobayashi NP00O00 1 -
, , Fc 1 -
Paulo paulo NP00SP0 1 -
---------------- ---------------- Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

SP sp NCMS000 0.646911 -
1999-2005 1999-2005 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Paulo_Seiti_Kobayashi paulo_seiti_kobayashi NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0169981
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00271733/08665504-n:0.00209167/08626283-n:0.00137329/08226699-n:0.00134244/08672738-n:0.00131203/08226335-n:0.00121509/08177958-n:0.00115223
de de SP 1 -
Ribeirão_Pires ribeirão_pires NP00G00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_30_de_Junho_de_1945 [??:30/6/1945:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00169926/09992837-n:0.00156512/10373998-n:0.00155189/09918248-n:0.00151966/09871229-n:0.00139632/09918762-n:0.00130918
mais mais RG 0.999721 00029367-r:0.0060406/00099712-r:0.00509204
velho velho AQ0MS00 0.986111 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
casal casal NCMS000 1 07989373-n:0.00451308/13963970-n:0.0044973
Shigueo_Kobayashi shigueo_kobayashi NP00SP0 1 -
, , Fc 1 -
nascido nascer VMP00SM 0.721889 00360932-v:0.0169981
em em SP 1 -
o o DA0MS0 1 -
Japão japão NP00G00 1 -
, , Fc 1 -
e e CC 0.999951 -
de de SP 1 -
Sumiyo_Kobayashi sumiyo_kobayashi NP00SP0 1 -
, , Fc 1 -
nissei nissei VMIS1S0 1 -
. . Fp 1 -

Logo logo RG 0.994911 00061203-r:0.0081364
a o DA0FS0 0.675415 -
família família NCFS000 1 07970721-n:0.00176795/07969695-n:0.00163809/07970406-n:0.0010996/08101937-n:0.00107241/08078020-n:0.00101873/07997703-n:0.000973659/08107499-n:0.000932881/10236304-n:0.000899842/05838765-n:0.000888559/07971141-n:0.000779393
mudou mudar VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
um um DI0MS0 0.877848 -
sítio sítio NCMS000 1 01075117-n:0.00812833
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00271733/08665504-n:0.00209167/08626283-n:0.00137329/08226699-n:0.00134244/08672738-n:0.00131203/08226335-n:0.00121509/08177958-n:0.00115223
paulista paulista NCCS000 1 08853741-n:0.00874048
de de SP 1 -
Pedreira pedreira NP00G00 1 03949442-n:0.00873552
. . Fp 1 -

= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
Ainda ainda RG 1 00047534-r:0.00802809
estudante estudante NCCS000 1 10665698-n:0.00248344/10016103-n:0.00140056/10251779-n:0.00138258/10559288-n:0.00129015/10767020-n:0.00123533/10558773-n:0.000581836/10059162-n:0.00057143
, , Fc 1 -
ministrou ministrar VMIS3S0 1 02336483-v:0.00389904
aulas aula NCFP000 1 00889472-n:0.00459352
em em SP 1 -
uma um DI0FS0 1 -
colônia colônia NCFS000 0.93322 08499840-n:0.00392015
japonesa japonês AQ0FS00 0.263959 02965043-a:0.00418398
em em SP 1 -
Campinas campinas NP00G00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

A a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
17 17 Z 1 -
anos ano NCMP000 1 08238660-n:0.00132113/15203791-n:0.00104468/15202634-n:0.00103104/15203565-n:0.00101671/15153787-n:0.00089809/15204297-n:0.00089393/15201505-n:0.000887209/15203229-n:0.000885505/15202806-n:0.000873476/15273626-n:0.000842557
chegou chegar VMIS3S0 1 00208055-v:0.00155874/02015384-v:0.00136998/00634472-v:0.00135622
a o DA0FS0 0.675415 -
São_Paulo são_paulo NP00SP0 1 -
para para SP 0.999444 -
completar completar VMN0000 0.529581 00452512-v:0.00223221/00455750-v:0.00210708
os o DA0MP0 0.958022 -
estudos estudo NCMP000 1 -
e e CC 0.999951 -
trabalhar trabalhar VMN0000 0.328 02413480-v:0.000901604/02410855-v:0.000775674/02419773-v:0.00064374/01668603-v:0.000619164/02594979-v:0.00060737/01235355-v:0.000605876/02415039-v:0.000603669
em em SP 1 -
o o DA0MS0 1 -
Banco_América_do_Sul banco_américa_do_sul NP00O00 1 -
. . Fp 1 -

Cursou cursar VMIS3S0 1 -
economia economia NCFS000 1 04893787-n:0.000884118/06149484-n:0.000864377/08366753-n:0.000859222/00192613-n:0.000851914/05644727-n:0.000850226
até até SP 0.764262 -
o o DA0MS0 0.950254 -
terceiro terceiro AO0MS00 0.992424 -
ano ano NCMS000 1 08238660-n:0.00132113/15203791-n:0.00104468/15202634-n:0.00103104/15203565-n:0.00101671/15153787-n:0.00089809/15204297-n:0.00089393/15201505-n:0.000887209/15203229-n:0.000885505/15202806-n:0.000873476/15273626-n:0.000842557
em em SP 1 -
a o DA0FS0 1 -
Pontifícia_Universidade_Católica_de_São_Paulo pontifícia_universidade_católica_de_são_paulo NP00O00 1 -
( ( Fpa 1 -
PUC-SP puc-sp NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
terminou terminar VMIS3S0 1 00352826-v:0.00067216/02609764-v:0.000623878/00484166-v:0.000610356/02680814-v:0.000408518/00484892-v:0.000394782/00715074-v:0.000377058/00481941-v:0.000359702/02610845-v:0.000356722/02610628-v:0.000354768/02425913-v:0.000344338/00351963-v:0.000337385/00763831-v:0.000334268
o o DA0MS0 0.950254 -
curso curso NCMS000 0.980769 08238660-n:0.00132113/00884466-n:0.00107896/08238463-n:0.00050872/09387222-n:0.000502628/08377085-n:0.000481465/08679972-n:0.000468994/13827426-n:0.000456503/00038262-n:0.00041278/08680888-n:0.000411786/08681222-n:0.000384967/08461595-n:0.000361083
de de SP 1 -
