<OUTPUT SRCFILE="11408.raw">
** ** Fz 1 -
RANZOLIN ranzolin NP00O00 1 -
, , Fc 1 -
Ivan ivan NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

SC sc NCMS000 0.500745 -
2003-2007 2003-2007 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Ivan_Cesar_Ranzolin ivan_cesar_ranzolin NP00SP0 1 -
*** *** Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242591
em em SP 1 -
Lages lages NP00G00 1 -
( ( Fpa 1 -
SC sc NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_18_de_junho_de_1939 [??:18/6/1939:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0045425/09992837-n:0.00436227/10373998-n:0.00424457/09918248-n:0.00412653/09871229-n:0.00398716/09918762-n:0.00365903
de de SP 1 -
Armindo_Ranzolin armindo_ranzolin NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Edite_Carletti_Ranzolin edite_carletti_ranzolin NP00SP0 1 -
. . Fp 1 -

Formou formar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
direito direito NCMS000 0.936047 -
em em SP 1 -
1967 1967 Z 1 -
, , Fc 1 -
em em SP 1 -
Curitiba curitiba NP00G00 1 -
. . Fp 1 -

Durante durante SP 0.99651 -
a o DA0FS0 0.675415 -
graduação graduação NCFS000 1 14431471-n:0.0230305
, , Fc 1 -
entre entre SP 0.987856 -
1965 1965 Z 1 -
e e CC 0.999951 -
1966 1966 Z 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00281457/02051694-v:0.00160132/01955984-v:0.00148788/01995549-v:0.00145272/02072849-v:0.00144529/01904930-v:0.00141656/02009433-v:0.00135864/01935233-v:0.00130616/01957529-v:0.00129021/02102398-v:0.00125973/00341560-v:0.00123926/02685951-v:0.00117507/01882814-v:0.00116951/02058994-v:0.00116597/01846916-v:0.00115472/02102002-v:0.00115271/01849221-v:0.0011425/01841079-v:0.00109844/02686471-v:0.00107852/01839538-v:0.00104051/00343898-v:0.00102481
presidente presidente NCMS000 0.998938 10467395-n:0.00488132/10468962-n:0.00487971/10467179-n:0.00450879/10469346-n:0.00428388/10468750-n:0.0042052/10468559-n:0.00406871
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Conselho_Municipal_de_Esportes_de_Lages conselho_municipal_de_esportes_de_lages NP00O00 1 -
, , Fc 1 -
cargo cargo NCMS000 1 00586262-n:0.0150618/13945102-n:0.011526
que que PR0CN00 0.584265 -
voltaria voltar VMIC3S0 0.575045 00959714-v:0.0253606
a a SP 0.313151 -
ocupar ocupar VMN0000 0.328 00600370-v:0.00863092/01126360-v:0.00781198/02649042-v:0.00766122
entre entre SP 0.987856 -
1971 1971 Z 1 -
e e CC 0.999951 -
1972 1972 Z 1 -
. . Fp 1 -

Após após SP 1 -
a o DA0FS0 0.675415 -
formatura formatura NCFS000 1 -
, , Fc 1 -
atuou atuar VMIS3S0 1 00010435-v:0.0254231
como como CS 0.751351 -
assessor assessor NCMS000 0.632636 09774266-n:0.0245784
jurídico jurídico AQ0MS00 1 02753724-a:0.0217553
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Câmara_Municipal_de_Lages câmara_municipal_de_lages NP00O00 1 -
, , Fc 1 -
função função NCFS000 1 00582388-n:0.0063722/00720565-n:0.00628911/05149325-n:0.0059885/00722061-n:0.00586604
que que PR0CN00 0.584265 -
exerceu exercer VMIS3S0 1 02204564-v:0.00674396/02568672-v:0.0064241/01095218-v:0.00639828/01166093-v:0.00545492
até até SP 0.764262 -
1978 1978 Z 1 -
. . Fp 1 -

Filiado filiar VMP00SM 0.992518 01973311-a:0.0153243
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Aliança_Renovadora_Nacional_(_Arena aliança_renovadora_nacional_(_arena NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
partido partido NCMS000 0.98773 -
de de SP 1 -
sustentação sustentação NCFS000 1 01216191-n:0.0163455
de de SP 1 -
