<OUTPUT SRCFILE="11474.raw">
** ** Fz 1 -
SANTIAGO santiago NCMS000 0.84 -
**** **** Fz 1 -
, , Fc 1 -
**** **** Fz 1 -
Wilson wilson NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

PB pb NCMS000 1 -
2003 2003 Z 1 -
- - Fg 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
* * Fz 1 -
José_Wilson_Santiago josé_wilson_santiago NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.018901
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00434458/08665504-n:0.00392933/08626283-n:0.00304056/08226699-n:0.00295874/08672738-n:0.00290103/08226335-n:0.00269702/08177958-n:0.00255432
de de SP 1 -
[ [ Fca 1 -
Uiraúna uiraúna NP00G00 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/Uira%C3%BAna http://pt.wikipedia.org/wiki/Uira%C3%BAna Z 1 -
" " Fe 1 -
Uiraúna uiraúna NP00V00 1 -
" " Fe 1 -
) ) Fpt 1 -
( ( Fpa 1 -
PB pb NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia dia NCMS000 1 15155220-n:0.00289107/15122231-n:0.00220782/15157225-n:0.00208757/15136453-n:0.00202044/15159583-n:0.00188333/15136723-n:0.00180676/15164957-n:0.00180651/15123115-n:0.00172843/15208333-n:0.00172363/15208540-n:0.00162134/15157041-n:0.00161621
[ [ Fca 1 -
10_de_junho [??:10/6/??:??.??:??] W 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/10_de_Junho http://pt.wikipedia.org/wiki/10_de_Junho Z 1 -
" " Fe 1 -
10_de_Junho [??:10/6/??:??.??:??] W 1 -
" " Fe 1 -
) ) Fpt 1 -
de de SP 1 -
[ [ Fca 1 -
1957 1957 Z 1 -
] ] Fct 1 -
( ( Fpa 1 -
http://pt.wikipedia.org/wiki/1957 http://pt.wikipedia.org/wiki/1957 Z 1 -
" " Fe 1 -
1957 1957 Z 1 -
" " Fe 1 -
) ) Fpt 1 -
, , Fc 1 -
