<OUTPUT SRCFILE="11519.raw">
** ** Fz 1 -
SUELY suely AQ0CN00 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

RJ rj NCMS000 0.169643 -
2007 2007 Z 1 -
- - Fg 1 -
    Fz 1 -
* * Fz 1 -
Suely_Santana_da_Silva suely_santana_da_silva NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.021228
em em SP 1 -
Ilhéus ilhéus NP00G00 1 -
( ( Fpa 1 -
BA ba NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_26_de_agosto_de_1976 [??:26/8/1976:??.??:??] W 1 -
, , Fc 1 -
filha filho NCFS000 0.944444 10624074-n:0.0039785/09992837-n:0.00381856/10373998-n:0.00371509/09918248-n:0.00361136/09871229-n:0.00348884/09918762-n:0.00320172
de de SP 1 -
Florisvaldo_da_Silva florisvaldo_da_silva NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Benedita_Isabel_de_Santana benedita_isabel_de_santana NP00SP0 1 -
. . Fp 1 -

** ** Fz 1 -
Concluiu concluir VMIS3S0 1 00634472-v:0.00157454/00352826-v:0.00109282/00636574-v:0.00106706/01022420-v:0.00101369/00944924-v:0.00100499/00698855-v:0.000957871/00636441-v:0.00088355/00715074-v:0.000868944/00945125-v:0.000837836
o o DA0MS0 0.950254 -
ensino ensino NCMS000 0.993421 00883297-n:0.00805273
médio médio AQ0MS00 0.97619 01531957-a:0.00698909
em em SP 1 -
o o DA0MS0 1 -
Colégio_Rocha_Marmo colégio_rocha_marmo NP00G00 1 -
, , Fc 1 -
em em SP 1 -
Vila_Mariana vila_mariana NP00G00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -
** ** Fz 1 -
Em em SP 1 -
2003 2003 Z 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.000965436/02051694-v:0.000511034/01955984-v:0.000485931/01995549-v:0.000471879/02072849-v:0.000459367/01904930-v:0.000458645/02009433-v:0.000438126/01957529-v:0.000426833/01935233-v:0.000417342/02102398-v:0.000406555/00341560-v:0.000396319/01882814-v:0.000374361/02058994-v:0.000374334/02685951-v:0.000374328/02102002-v:0.000371219/01846916-v:0.000369869/01849221-v:0.00036846/01841079-v:0.00035141/02686471-v:0.000340002/01839538-v:0.000331884/00343898-v:0.000326666
contratada contratar VMP00SF 0.992518 02409412-v:0.00464506/02409941-v:0.00379296
como como CS 0.751351 -
assessora assessor NCFS000 0.548655 09774266-n:0.00784579
parlamentar parlamentar AQ0CS00 0.938144 02774411-a:0.0025222/00715830-a:0.00243387/00716056-a:0.00238632
de de SP 1 -
Enéas_Carneiro enéas_carneiro NP00SP0 1 -
, , Fc 1 -
então então RG 0.994792 -
deputado deputado NCMS000 0.993827 09830400-n:0.00360912/10005934-n:0.00357842
federal federal AQ0CS00 1 01606214-a:0.00182826/01107206-a:0.0017896/02725829-a:0.00177285/01106129-a:0.00172882
por por SP 1 -
São_Paulo são_paulo NP00SP0 1 -
, , Fc 1 -
fundador fundador NCMS000 0.482636 10107303-n:0.00775787
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Reedificação_da_Ordem_Nacional partido_da_reedificação_da_ordem_nacional NP00O00 1 -
( ( Fpa 1 -
Prona prona NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
candidato candidato NCMS000 0.962264 09889691-n:0.00218148/09607280-n:0.00201509/09890749-n:0.00190495/10001647-n:0.00180148
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
presidência presidência NCFS000 1 15266265-n:0.00375688/00596807-n:0.00374779
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
República república NP00O00 1 08168978-n:0.00414839/08361329-n:0.00391598
em em SP 1 -
as o DA0FP0 1 -
eleições eleição NCFP000 1 00181781-n:0.00231449/05790944-n:0.00211977/00183505-n:0.0020047/00180962-n:0.00189506
de de SP 1 -
1989 1989 Z 1 -
, , Fc 1 -
1994 1994 Z 1 -
e e CC 0.999951 -
