<OUTPUT SRCFILE="11550.raw">
Lúcio_Dutra_Vale lúcio_dutra_vale NP00SP0 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242591
em em SP 1 -
Manhuaçu manhuaçu NP00G00 1 -
( ( Fpa 1 -
MG mg NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_27_de_dezembro_de_1972 [??:27/12/1972:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0045425/09992837-n:0.00436227/10373998-n:0.00424457/09918248-n:0.00412653/09871229-n:0.00398716/09918762-n:0.00365903
de de SP 1 -
Anivaldo_Juvenil_Vale anivaldo_juvenil_vale NP00SP0 1 -
e e CC 0.999951 -
Ana_Dutra_de_Souza_Vale ana_dutra_de_souza_vale NP00G00 1 -
. . Fp 1 -

Seu seu DP3MSS 0.957305 -
pai pai NCMS000 1 10080869-n:0.00331135/10399491-n:0.00264466/09988063-n:0.00249008/10944902-n:0.00236182
, , Fc 1 -
Anivaldo_Vale anivaldo_vale NP00SP0 1 -
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00127156/02051694-v:0.000701983/01955984-v:0.000660128/01995549-v:0.000652806/02072849-v:0.000631352/01904930-v:0.000617543/02009433-v:0.000601206/01957529-v:0.000575654/01935233-v:0.000574936/02102398-v:0.000555185/00341560-v:0.000545269/02685951-v:0.000523242/01882814-v:0.000513786/02058994-v:0.000512881/01846916-v:0.000506961/02102002-v:0.000505248/01849221-v:0.000503689/01841079-v:0.000481956/02686471-v:0.000466826/01839538-v:0.000455838/00343898-v:0.000449699
deputado deputado NCMS000 0.993827 09830400-n:0.00495557/10005934-n:0.00489818
federal federal AQ0CS00 1 01606214-a:0.00251351/01107206-a:0.00244576/02725829-a:0.00243233/01106129-a:0.00237496
por por SP 1 -
o o DA0MS0 1 -
Pará pará NP00G00 1 -
durante durante SP 0.99651 -
três 3 Z 1 -
legislaturas legislatura NCFP000 1 15291498-n:0.0109817
consecutivas consecutivo AQ0FP00 0.501588 00596511-a:0.00539834/00127543-a:0.00505276
( ( Fpa 1 -
1995-1999 1995-1999 Z 1 -
, , Fc 1 -
1999-2003 1999-2003 Z 1 -
e e CC 0.999951 -
2003-2007 2003-2007 Z 1 -
) ) Fpt 1 -
^ ^ Fz 1 -
^ ^ Fz 1 -
sendo ser VMG0000 1 02604760-v:0.011989
as o DA0FP0 0.974798 -
últimas último AO0FP00 0.80531 01010271-a:0.0101718
duas 2 Z 1 -
em em SP 1 -
a o DA0FS0 1 -
sigla sigla NCFS000 1 07091902-n:0.0105053
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_da_Social_Democracia_Brasileira partido_da_social_democracia_brasileira NP00O00 1 -
( ( Fpa 1 -
PSDB psdb NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.00960604
em em SP 1 -
a o DA0FS0 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Progressista_Reformador partido_progressista_reformador NP00O00 1 -
( ( Fpa 1 -
PPR ppr NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Graduou graduar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
administração administração NCFS000 1 01133281-n:0.00280551/08164585-n:0.00275411/01135952-n:0.00247838/08381165-n:0.00245621/01124794-n:0.00235633/08357784-n:0.0023549
de de SP 1 -
empresas empresa NCFP000 0.996795 08056231-n:0.0141784
em em SP 1 -
a o DA0FS0 1 -
Universidade_Paulista universidade_paulista NP00O00 1 -
( ( Fpa 1 -
UNIP unip NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
Brasília brasília NP00G00 1 -
, , Fc 1 -
em em SP 1 -
2003 2003 Z 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
2005 2005 Z 1 -
ingressou ingressar VMIS3S0 1 02310855-v:0.0136349
em em SP 1 -
o o DA0MS0 1 -
curso curso NCMS000 0.980769 08679972-n:0.0015813/09387222-n:0.00155779/08377085-n:0.00153759/13827426-n:0.00152936/08238660-n:0.00140517/08680888-n:0.00139543/08238463-n:0.00137563/00884466-n:0.00135718/00038262-n:0.00131999/08681222-n:0.00129827/08461595-n:0.00122488
de de SP 1 -
Especialização_em_Gestão_Pública_da_Universidade_da_Amazônia especialização_em_gestão_pública_da_universidade_da_amazônia NP00O00 1 -
( ( Fpa 1 -
UNAMA unama NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
Belém belém NP00G00 1 -
, , Fc 1 -
Pará parar VMN0000 0.533313 01860795-v:0.00229091/00778275-v:0.00196462/02680814-v:0.00178935/01859221-v:0.0015934/00362348-v:0.00149852/02609764-v:0.00149411/00779061-v:0.00147716/01862918-v:0.00146514/02559752-v:0.00145404/01987058-v:0.00142088
. . Fp 1 -

Filiou filiar VMIS3S0 1 -
se se PP3CN00 1 -
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Partido_Social_Trabalhista partido_social_trabalhista NP00O00 1 -
( ( Fpa 1 -
PST pst NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
2001 2001 Z 1 -
. . Fp 1 -

Em em SP 1 -
2003 2003 Z 1 -
, , Fc 1 -
após após SP 1 -
uma um DI0FS0 0.903495 -
breve breve AQ0CS00 0.150685 01442826-a:0.0114522/00979862-a:0.0110426
passagem passagem NCFS000 1 03895585-n:0.00901178/00201058-n:0.00805309/03112099-n:0.00798822
por por SP 1 -
o o DA0MS0 1 -
Partido_Liberal partido_liberal NP00O00 1 -
( ( Fpa 1 -
PL pl NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
transferiu transferir VMIS3S0 1 -
se se PP3CN00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
PSDB psdb NP00O00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
qual qual PR0CS00 0.715254 -
permaneceu permanecer VMIS3S0 1 00117985-v:0.00496878/02731024-v:0.00496028/01857392-v:0.00426236/02731242-v:0.00424261/02639075-v:0.00421297/02727462-v:0.00398114
até até SP 0.764262 -
2005 2005 Z 1 -
. . Fp 1 -

Em em SP 1 -
este este DD0MS0 0.843484 - este PD0MS00 0.156516 -
último último AO0MS00 0.866379 01010271-a:0.016272
ano ano NCMS000 1 15203565-n:0.002122/15202634-n:0.00210906/15203791-n:0.00202396/15153787-n:0.00185522/15204297-n:0.00182722/08238660-n:0.00181494/15201505-n:0.00181348/15202806-n:0.00178804/15203229-n:0.00172558/15273626-n:0.00170676
, , Fc 1 -
acumulou acumular VMIS3S0 1 02281093-v:0.00374493/01503404-v:0.00367244/02304982-v:0.00364459/02218173-v:0.00356505/00158804-v:0.00354763
duas 2 Z 1 -
Secretarias_Municipais secretarias_municipais NP00SP0 1 -
em em SP 1 -
a o DA0FS0 1 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.0153664
administração administração NCFS000 1 01133281-n:0.00334832/08164585-n:0.0033044/01135952-n:0.00296661/08381165-n:0.00294529/01124794-n:0.00282808/08357784-n:0.00282652
de de SP 1 -
Duciomar_Costa duciomar_costa NP00SP0 1 -
( ( Fpa 1 -
2005-2009 2005-2009 Z 1 -
) ) Fpt 1 -
em em SP 1 -
a o DA0FS0 1 -
cidade cidade NCFS000 1 08524735-n:0.00398212/08665504-n:0.00346515/08626283-n:0.00274172/08226699-n:0.00266311/08672738-n:0.00261103/08226335-n:0.00242835/08177958-n:0.00229934
de de SP 1 -
Belém belém NP00G00 1 -
: : Fd 1 -
a o PD0FS00 0.00514062 -
de de SP 1 -
Saúde saúde NP00O00 1 14447525-n:0.0057285/14447908-n:0.00569035/13923779-n:0.00556017
e e CC 0.999951 -
a o DA0FS0 0.675415 -
de de SP 1 -
Administração administração NP00O00 1 01133281-n:0.00334832/08164585-n:0.0033044/01135952-n:0.00296661/08381165-n:0.00294529/01124794-n:0.00282808/08357784-n:0.00282652
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0102587
em em SP 1 -
2005 2005 Z 1 -
migrou migrar VMIS3S0 1 01856626-v:0.0103103
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Partido_do_Movimento_Democrático_Brasileiro partido_do_movimento_democrático_brasileiro NP00O00 1 -
( ( Fpa 1 -
PMDB pmdb NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
sigla sigla NCFS000 1 07091902-n:0.0105031
por por SP 1 -
a o DA0FS0 1 -
qual qual PR0CS00 0.715254 -
foi ir VMIS3S0 0.5 01835496-v:0.00128528/02051694-v:0.000701959/01955984-v:0.000667619/02009433-v:0.000648766/01995549-v:0.000648496/02072849-v:0.000630003/01904930-v:0.000620696/01957529-v:0.000575306/01935233-v:0.000572732/02102398-v:0.000561841/00341560-v:0.000543536/02685951-v:0.000525956/01882814-v:0.000513841/02058994-v:0.000512994/01846916-v:0.000508801/02102002-v:0.000507252/01849221-v:0.000503505/01841079-v:0.000486783/02686471-v:0.000466835/01839538-v:0.000455898/00343898-v:0.000449095
eleito eleito AQ0MS00 0.5 00846052-a:0.0060591/01294857-a:0.0051727
deputado deputado NCMS000 0.993827 09830400-n:0.00496049/10005934-n:0.00490012
federal federal AQ0CS00 1 01606214-a:0.00251254/01107206-a:0.00244784/02725829-a:0.002435/01106129-a:0.00237542
em em SP 1 -
2006 2006 Z 1 -
, , Fc 1 -
e e CC 0.999951 -
em em SP 1 -
2007 2007 Z 1 -
passou passar VMIS3S0 1 01212230-v:0.00346213/02709277-v:0.00323005/00106960-v:0.00317157
finalmente final RG 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
Partido_da_República partido_da_república NP00O00 1 -
( ( Fpa 1 -
PR pr NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
qual qual PR0CS00 0.715254 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
vice vice AQ0CN00 1 -
líder líder NCCS000 1 -
a_partir_de a_partir_de SP 1 -
março_de_2008 [??:??/3/2008:??.??:??] W 1 -
. . Fp 1 -

Na_Câmara na_câmara NP00SP0 1 -
desde desde SP 1 -
fevereiro_de_2007 [??:??/2/2007:??.??:??] W 1 -
, , Fc 1 -
integrou integrar VMIS3S0 1 00466651-v:0.00845347/00642980-v:0.00798719/00467451-v:0.00777187
como como RG 0.205121 00159040-r:0.0239168
titular titular AQ0CS00 0.655827 -
, , Fc 1 -
a o DA0FS0 0.675415 -
Comissão_do_Desenvolvimento_Econômico comissão_do_desenvolvimento_econômico NP00O00 1 -
, , Fc 1 -
Industrial industrial NP00SP0 1 10204177-n:0.0246723
e e CC 0.999951 -
Comércio comércio NP00O00 1 01090446-n:0.00513614/01094725-n:0.00441042/01091905-n:0.00424677/01110274-n:0.00404643/00079398-n:0.00397704/08065093-n:0.00397531
. . Fp 1 -

Foi ir VMIS3S0 0.5 01835496-v:0.00322226/02051694-v:0.00186636/01955984-v:0.00173312/01995549-v:0.00168453/02072849-v:0.00167029/02009433-v:0.00156362/01904930-v:0.00155923/01935233-v:0.00152095/01957529-v:0.00150054/02102398-v:0.0014687/00341560-v:0.00144484/01882814-v:0.00136352/02058994-v:0.00135873/02685951-v:0.00135147/01846916-v:0.00134661/02102002-v:0.00134021/01849221-v:0.00133156/01841079-v:0.00128059/02686471-v:0.00124317/01839538-v:0.00121348/00343898-v:0.00119529
também também RG 0.998533 00047534-r:0.0273123
titular titular AQ0CS00 0.655827 -
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
Comissões_de_Exploração_de_Recursos_das_Terras_Indígenas comissões_de_exploração_de_recursos_das_terras_indígenas NP00O00 1 -
e e CC 0.999951 -
de de SP 1 -
Limite_de_Despesa limite_de_despesa NP00O00 1 -
com com SP 1 -
pessoal pessoal NCMS000 0.291667 07947255-n:0.00635804/08209687-n:0.00590237/08439955-n:0.00572754/08187033-n:0.00570729/08118991-n:0.00526801
. . Fp 1 -

Em em SP 1 -
as o DA0FP0 1 -
votações votação NCFP000 1 00183505-n:0.00847068/00182213-n:0.0078454
importantes importante AQ0CP00 0.98913 01275562-a:0.0031464/02161432-a:0.00290517/00655779-a:0.00282592/00579622-a:0.00242538/01830403-a:0.00241341/01539887-a:0.0023771
em em SP 1 -
a o DA0FS0 1 -
Câmara_dos_Deputados câmara_dos_deputados NP00O00 1 -
, , Fc 1 -
votou votar VMIS3S0 1 02461314-v:0.00898816/02400637-v:0.00499837/02462201-v:0.00480976
a o DA0FS0 0.675415 -
favor favor NCMS000 1 01226941-n:0.00790317/05156319-n:0.0074453
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
prorrogação prorrogação NCFS000 1 15233989-n:0.0151731
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Contribuição_Provisória contribuição_provisória NP00O00 1 -
sobre sobre SP 0.997342 -
Movimentação_Financeira movimentação_financeira NP00SP0 1 -
( ( Fpa 1 -
CPMF cpmf NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
em em SP 1 -
outubro_de_2007 [??:??/10/2007:??.??:??] W 1 -
, , Fc 1 -
e e CC 0.999951 -
pela pelar VMIP3S0 0.470159 01262936-v:0.0158547
sua seu DP3FSS 0.929764 -
recriação recriação NCFS000 1 -
, , Fc 1 -
em em SP 1 -
junho_de_2008 [??:??/6/2008:??.??:??] W 1 -
. . Fp 1 -

</OUTPUT>
