<OUTPUT SRCFILE="11625.raw">
* * Fz 1 -
TV tv NCFS000 1 06277280-n:0.00756977/04405907-n:0.00755883
BRASIL brasil NP00G00 1 12489524-n:0.00858221
* * Fz 1 -
Rede rede NCFS000 0.981707 03309808-n:0.00165976/03819595-n:0.00133719/03820728-n:0.00122248/03085333-n:0.00113701/04474466-n:0.00112566/08434259-n:0.00109716/04568713-n:0.000985122/03475961-n:0.000979737
de de SP 1 -
televisão televisão NCFS000 1 06277280-n:0.00756977/04405907-n:0.00755883/04404412-n:0.00340161
pública público AQ0FS00 1 00493297-a:0.0078899
nacional nacional AQ0CS00 0.966867 01105840-a:0.0015093/01567862-a:0.00129456/02988060-a:0.00124458/02988402-a:0.00119152/02988281-a:0.00115372/01861776-a:0.00111826/01038332-a:0.00109941
que que PR0CN00 0.584265 -
surgiu surgir VMIS3S0 1 01990694-v:0.00419654/00426581-v:0.00411536
a a SP 0.313151 -
partir partir VMN0000 0.332544 02009433-v:0.00216297/02015598-v:0.00136301/02008396-v:0.00110945/01848718-v:0.00106181/02016062-v:0.000891615/02010400-v:0.000881209/02011437-v:0.000870519/02383440-v:0.000854245/01842204-v:0.000845881/02249293-v:0.000841183
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
criação criação NCFS000 1 00914929-n:0.00133186/00240184-n:0.00130901/09466280-n:0.00130761/00908492-n:0.00120134/03129123-n:0.00117903/07328942-n:0.00114427/03574004-n:0.00112666
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
EMPRESA_BRASILEIRA_DE_COMUNICAÇÃO empresa_brasileira_de_comunicação NP00O00 1 -
/ / Fh 1 -
EBC ebc NCMS000 0.500745 -
, , Fc 1 -
decreto decreto NCMS000 0.980769 06539770-n:0.00818837
presidencial presidencial AQ0CS00 1 00753504-a:0.00437057/02984104-a:0.00403493
6.246 6246 Z 1 -
de de SP 1 -
24/12/2007 [??:24/12/2007:??.??:??] W 1 -
, , Fc 1 -
a o DA0FS0 0.675415 -
TV_BRASIL tv_brasil NP00O00 1 -
iniciou iniciar VMIS3S0 1 00348746-v:0.00195447/00345761-v:0.00185656/02608347-v:0.00184465/01650610-v:0.0017378/00964911-v:0.00155143
suas seu DP3FSP 0.994048 -
transmissões transmissão NCFP000 1 06251781-n:0.00293661/04472243-n:0.00291632/13589003-n:0.00271394
em em SP 1 -
o o DA0MS0 1 -
dia_2_de_dezembro_de_2007 [??:2/12/2007:??.??:??] W 1 -
a a SP 0.313151 -
partir partir VMN0000 0.332544 02009433-v:0.00216297/02015598-v:0.00136301/02008396-v:0.00110945/01848718-v:0.00106181/02016062-v:0.000891615/02010400-v:0.000881209/02011437-v:0.000870519/02383440-v:0.000854245/01842204-v:0.000845881/02249293-v:0.000841183
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
fusão fusão NCFS000 1 13566535-n:0.00126629/00380568-n:0.00125162/01238424-n:0.00121278/13485525-n:0.0011921/07373602-n:0.00119148/14418662-n:0.00114429/13485767-n:0.00111742
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
TVs_Educativas_do_Rio_de_Janeiro tvs_educativas_do_rio_de_janeiro NP00O00 1 -
, , Fc 1 -
Maranhão maranhão NP00G00 1 -
e e CC 0.999951 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
TV_Nacional_de_Brasília tv_nacional_de_brasília NP00V00 1 -
. . Fp 1 -

# # Fz 1 -
# # Fz 1 -
Antecedentes antecedente NCMP000 0.441677 06603651-n:0.010705
Em em SP 1 -
2005 2005 Z 1 -
o o DA0MS0 0.950254 -
presidente presidente NCMS000 0.998938 10467395-n:0.00213843/10468962-n:0.00210219/10467179-n:0.00194132/10469346-n:0.00186294/10468750-n:0.00183662/10468559-n:0.00177503
Luis_Inácio_Lula_da_Silva luis_inácio_lula_da_silva NP00SP0 1 -
( ( Fpa 1 -
2003-2011 2003-2011 Z 1 -
) ) Fpt 1 -
, , Fc 1 -
por_meio_de por_meio_de SP 1 -
decreto decreto NCMS000 0.980769 06539770-n:0.0102414
, , Fc 1 -
instituiu instituir VMIS3S0 1 01640207-v:0.0107594
um um DI0MS0 0.877848 -
Comitê_Gestor comitê_gestor NP00O00 1 -
encarregado encarregar VMP00SM 0.571918 02349212-v:0.00515005/00883112-v:0.00252597/02480803-v:0.0025152/01097315-a:0.00245863
de de SP 1 -
formular formular VMN0000 0.529581 01632411-v:0.00367197/00925873-v:0.00351148/00980453-v:0.00348507
uma um DI0FS0 0.903495 -
proposta proposta NCFS000 0.475225 07162194-n:0.0059084/07162680-n:0.00570987
de de SP 1 -
prestação prestação NCFS000 1 00240938-n:0.0101591
de de SP 1 -
