<OUTPUT SRCFILE="11644.raw">
Designação designação NCFS000 1 00163779-n:0.00498535/00730247-n:0.00497599
dada dar VMP00SF 0.870968 02230772-v:0.000703219/00056930-v:0.000693108/02327200-v:0.000692425/02200686-v:0.000648854/02339413-v:0.000593206/02199590-v:0.000587883/02358327-v:0.000522339/02262278-v:0.000518781/02229055-v:0.000518248/02235229-v:0.000516752/02255462-v:0.000474123/02293321-v:0.000473045/02308741-v:0.000472543/02296153-v:0.00047077/02263027-v:0.000447226/02316649-v:0.000436032/02357873-v:0.000418735/02310328-v:0.000418614/02336483-v:0.000416891/01180351-v:0.000411446/02310007-v:0.000410119/02316868-v:0.000403623/02200498-v:0.000398958/01233027-v:0.000389678
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Lei lei NCFS000 1 08441203-n:0.00383653/06532330-n:0.00297238/05872982-n:0.00247566/08456347-n:0.00231004
8.069 8069 Z 1 -
, , Fc 1 -
de de SP 1 -
13_de_julho_de_1990 [??:13/7/1990:??.??:??] W 1 -
, , Fc 1 -
que que PR0CN00 0.584265 -
substituiu substituir VMIS3S0 1 02405390-v:0.00260466/00162688-v:0.00144342/02394662-v:0.0013719/00161225-v:0.00135708/02258617-v:0.00125776/02394445-v:0.00125665/02257767-v:0.00125406/02406011-v:0.00116105
o o DA0MS0 0.950254 -
antigo antigo AQ0MS00 0.991071 00669138-a:0.00907581
Código_de_Menores código_de_menores NP00G00 1 -
, , Fc 1 -
como como CS 0.751351 -
era ser VMII1S0 0.331795 02604760-v:0.0112101
chamada chamar VMP00SF 0.650794 01028748-v:0.00216937/00792471-v:0.00203929/01030132-v:0.00203214/02508245-v:0.00196873/01916555-a:0.00185793
a a SP 0.313151 -
Lei lei NP00V00 1 08441203-n:0.00383653/06532330-n:0.00297238/05872982-n:0.00247566/08456347-n:0.00231004
6.697 6697 Z 1 -
de de SP 1 -
1979 1979 Z 1 -
, , Fc 1 -
e e CC 0.999951 -
instituiu instituir VMIS3S0 1 01640207-v:0.0101211
