<OUTPUT SRCFILE="11650.raw">
** ** Fz 1 -
MURAD murad NP00O00 1 -
, , Fc 1 -
Jamil jamil NP00SP0 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

SP sp NCMS000 0.646911 -
2003-2007 2003-2007 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Jamil_Murad jamil_murad NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242591
em em SP 1 -
Ubarana ubarana NP00G00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_20_de_fevereiro_de_1943 [??:20/2/1943:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0045425/09992837-n:0.00436227/10373998-n:0.00424457/09918248-n:0.00412653/09871229-n:0.00398716/09918762-n:0.00365903
de de SP 1 -
Emídio_Murad emídio_murad NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Hadige_Murad hadige_murad NP00SP0 1 -
. . Fp 1 -

Formou formar VMIS3S0 1 -
se se PP3CN00 1 -
médico médico AQ0MS00 0.191358 01168988-a:0.00926422/02760116-a:0.00918232/02607455-a:0.00856285
nefrologista nefrologista NCCS000 1 -
por por SP 1 -
a o DA0FS0 1 -
Faculdade_de_Medicina_da_Universidade_de_São_Paulo faculdade_de_medicina_da_universidade_de_são_paulo NP00O00 1 -
( ( Fpa 1 -
USP usp NP00O00 1 -
) ) Fpt 1 -
de de SP 1 -
Ribeirão_Preto ribeirão_preto NP00SP0 1 -
, , Fc 1 -
em em SP 1 -
1968 1968 Z 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0182407
estudante estudante NCCS000 1 10665698-n:0.00542432/10016103-n:0.00293954/10251779-n:0.00278604/10559288-n:0.00263053/10767020-n:0.00259114/10558773-n:0.00257004/10059162-n:0.00246912
, , Fc 1 -
participou participar VMIS3S0 1 02450256-v:0.0192444
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Centro_Acadêmico centro_acadêmico NP00G00 1 -
, , Fc 1 -
envolvendo envolver VMG0000 1 -
se se PP3CN00 1 -
em em SP 1 -
os o DA0MP0 1 -
debates debate NCMP000 0.980769 07140659-n:0.00586678/07140978-n:0.00503518/07242104-n:0.0048763/07142365-n:0.00451312
e e CC 0.999951 -
em em SP 1 -
