<OUTPUT SRCFILE="5108.raw">
SOARES soar VMN02S0 0.976071 02180898-v:0.00864874/02176268-v:0.00628092/02172888-v:0.00545502/02181538-v:0.00541583/02181402-v:0.00536653/02135048-v:0.00507063/02181174-v:0.00495552
, , Fc 1 -
Aírton aírton NP00SP0 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

SP sp NCMS000 0.646911 -
1975-1987 1975-1987 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Aírton_Estevens_Soares aírton_estevens_soares NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.021255
em em SP 1 -
Pirajuí pirajuí NP00G00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia dia NCMS000 1 15155220-n:0.00324098/15122231-n:0.00248266/15157225-n:0.00234463/15136453-n:0.00227217/15159583-n:0.00211678/15136723-n:0.00203232/15164957-n:0.00203041/15123115-n:0.00194432/15208333-n:0.00193873/15208540-n:0.00182371/15157041-n:0.00181786
1º 1º Z 1 -
de de SP 1 -
setembro_de_1945 [??:??/9/1945:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0039882/09992837-n:0.00382114/10373998-n:0.00371622/09918248-n:0.0036133/09871229-n:0.0034889/09918762-n:0.00320173
de de SP 1 -
Jaime_Soares jaime_soares NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Rosa_Aruti_Soares rosa_aruti_soares NP00SP0 1 -
. . Fp 1 -

Ingressando ingressar VMG0000 1 02310855-v:0.0233876
em em SP 1 -
a o DA0FS0 1 -
Faculdade_de_Direito_da_Universidade_de_São_Paulo faculdade_de_direito_da_universidade_de_são_paulo NP00O00 1 -
( ( Fpa 1 -
USP usp NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
tomou tomar VMIS3S0 1 01170052-v:0.00487221/01171183-v:0.00440665/01156834-v:0.00376978/01202068-v:0.00366409/02205272-v:0.00362996/01172275-v:0.00346881/02248299-v:0.0031088
parte parte NCFS000 0.969571 03892891-n:0.0023671/03081021-n:0.00215234/04164989-n:0.00211624/13809207-n:0.00205706/05868954-n:0.00205652/06392001-n:0.00205281/01085098-n:0.00202095/09385911-n:0.00201409/13086908-n:0.0020131/03390207-n:0.00198291/13286524-n:0.00187147/09428741-n:0.00187018
em em SP 1 -
a o DA0FS0 1 -
política política NCFS000 0.28594 06148148-n:0.00534632/06656408-n:0.00519142/05901508-n:0.00503488/13840719-n:0.00475857/00611972-n:0.00471534
estudantil estudantil AQ0CS00 1 -
. . Fp 1 -

Após após SP 1 -
bacharelar bacharelar VMN03S0 1 -
se se PP3CN00 1 -
em em SP 1 -
ciências ciência NCFP000 1 05999797-n:0.0037625/05985999-n:0.00337866/05636887-n:0.00337049/06000400-n:0.00330426/05999540-n:0.00320204
jurídicas jurídico AQ0FP00 1 02753724-a:0.0152287
e e CC 0.999951 -
sociais social AQ0CP00 1 02248349-a:0.00305526/02798370-a:0.0029773/02258360-a:0.00288829/01076634-a:0.00283571/02798597-a:0.0027305/02252877-a:0.00264457
, , Fc 1 -
entre entre SP 0.987856 -
1967 1967 Z 1 -
e e CC 0.999951 -
1969 1969 Z 1 -
