<OUTPUT SRCFILE="5139.raw">
SOLER soler NP00O00 1 -
, , Fc 1 -
Osvaldo osvaldo NP00SP0 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

MT mt NCMS000 0.777166 -
1996-1997 1996-1997 Z 1 -
, , Fc 1 -
2000 2000 Z 1 -
. . Fp 1 -

    Fz 1 -
* * Fz 1 -
Osvaldo_Soler osvaldo_soler NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0242596
em em SP 1 -
Bálsamo bálsamo NP00G00 1 14896923-n:0.0252332
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_16_de_maio_de_1937 [??:16/5/1937:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00454421/09992837-n:0.00436553/10373998-n:0.00424387/09918248-n:0.0041263/09871229-n:0.00398711/09918762-n:0.00365897
de de SP 1 -
Cristovam_Soler cristovam_soler NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Maria_Soler maria_soler NP00SP0 1 -
. . Fp 1 -

Cursou cursar VMIS3S0 1 -
pedagogia pedagogia NCFS000 1 00887081-n:0.0154669/00611433-n:0.0136604
em em SP 1 -
a o DA0FS0 1 -
Faculdade_de_Filosofia_,_Ciências_e_Letras_de_Jales faculdade_de_filosofia_,_ciências_e_letras_de_jales NP00O00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
e e CC 0.999951 -
direito direito NCMS000 0.936047 -
em em SP 1 -
a o DA0FS0 1 -
Faculdade_de_Direito_de_Marília faculdade_de_direito_de_marília NP00O00 1 -
( ( Fpa 1 -
SP sp NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

Radicado radicar VMP00SM 0.992518 01564881-a:0.0201687
em em SP 1 -
Jales jales NP00G00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15202634-n:0.00262876/15203565-n:0.00258725/15203791-n:0.0025266/08238660-n:0.00228355/15153787-n:0.00227835/15204297-n:0.00227829/15201505-n:0.00226478/15202806-n:0.00223336/15203229-n:0.00216308/15273626-n:0.00213164
de de SP 1 -
1958 1958 Z 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
diretor diretor NCMS000 1 10014939-n:0.00587076/10474645-n:0.0054716/10015485-n:0.00523466/10468559-n:0.00509394
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Ensino_Estadual_de_Primeiro_e_Segundo_Graus ensino_estadual_de_primeiro_e_segundo_graus NP00O00 1 -
( ( Fpa 1 -
EEPSG eepsg NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
aquele aquele DD0MS0 0.780172 - aquele PD0MS00 0.219828 -
município município NCMS000 1 08524735-n:0.0100556/08626283-n:0.00724103/08225581-n:0.00683962
. . Fp 1 -

Em em SP 1 -
1966 1966 Z 1 -
, , Fc 1 -
passou passar VMIS3S0 1 01212230-v:0.0110713/02709277-v:0.0103336/00106960-v:0.0101441
a a SP 0.313151 -
acumular acumular VMN0000 0.529581 02281093-v:0.00744215/01503404-v:0.00734274/02304982-v:0.00727479/02218173-v:0.00712754/00158804-v:0.007078
o o DA0MS0 0.950254 -
cargo cargo NCMS000 1 00586262-n:0.0221812/13945102-n:0.0161178
de de SP 1 -
diretor diretor NCMS000 1 10014939-n:0.00946409/10474645-n:0.00888659/10015485-n:0.00840731/10468559-n:0.00816706
com com SP 1 -
a o DA0FS0 0.675415 -
Escola_Normal_Dona_Leonor_Mendes_de_Barros escola_normal_dona_leonor_mendes_de_barros NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
o o DA0MS0 1 -
ano ano NCMS000 1 15203791-n:0.00252033/15202634-n:0.00178389/15203565-n:0.00175195/15203229-n:0.00156978/15153787-n:0.00154675/08238660-n:0.00153032/15204297-n:0.00152522/15201505-n:0.00151304/15202806-n:0.00149154/15273626-n:0.00145837
seguinte seguinte AQ0CS00 0.932099 00127948-a:0.00679552/00127815-a:0.00677616
, , Fc 1 -
além além RG 0.776243 00082308-r:0.013315
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
exercício exercício NCMS000 1 00894552-n:0.00354902/00624738-n:0.00354644/15203120-n:0.00340845/00729919-n:0.0032396
de de SP 1 -
esses esse DD0MP0 1 -
cargos cargo NCMP000 1 00586262-n:0.00853756/13945102-n:0.00671741
, , Fc 1 -
criou criar VMIS3S0 1 01617192-v:0.00337697/01621555-v:0.00316285/01753788-v:0.00311957/01640207-v:0.00298757/01685313-v:0.00265972
sua seu DP3FSS 0.929764 -
própria próprio AQ0FS00 0.994186 01104026-a:0.00691267/01104889-a:0.00643706
escola escola NCFS000 1 08276720-n:0.0030319/08278324-n:0.00202636/04146050-n:0.00191584/08277805-n:0.00183513/08278169-n:0.00181298/08412749-n:0.0018037/08277393-n:0.00176704/08275185-n:0.00176052
, , Fc 1 -
o o DA0MS0 0.950254 -
Instituto_Soler_de_Ensino instituto_soler_de_ensino NP00O00 1 -
, , Fc 1 -
passando passar VMG0000 1 01212230-v:0.00461218/02709277-v:0.00430837/00106960-v:0.00422736
a a SP 0.313151 -
presidis presidir VMIP2P0 1 -
o o PP3MSA0 1 -
e e CC 0.999951 -
a a SP 0.313151 -
dirigi dirigir VMN0000 1 -
o o PP3MSA0 1 -
. . Fp 1 -

Com com SP 1 -
a o DA0FS0 0.675415 -
extinção extinção NCFS000 1 13963032-n:0.00131003/07332691-n:0.00124631/14012173-n:0.00119601/05758692-n:0.0011444/00229934-n:0.00111021/13478342-n:0.00107855
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
partidos partido NCMP000 0.98374 -
políticos político AQ0MP00 0.861842 02857407-a:0.00668045/02857587-a:0.00651112
por por SP 1 -
o o DA0MS0 1 -
Ato_Institucional ato_institucional NP00O00 1 -
nº nº NCMS000 1 -
2 2 Z 1 -
( ( Fpa 1 -
27/10/1965 [??:27/10/1965:??.??:??] W 1 -
) ) Fpt 1 -
e e CC 0.999951 -
a o DA0FS0 0.675415 -
posterior posterior AQ0CS00 0.97619 00122626-a:0.00156254/00197576-a:0.00153889/00131426-a:0.00148292/00131692-a:0.00118995/00197891-a:0.00115611/00123485-a:0.00111245
instituição instituição NCFS000 1 08053576-n:0.00180073/03574555-n:0.00180015/00240184-n:0.00170941/08407330-n:0.00161021
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
bipartidarismo bipartidarismo NCMS000 1 -
, , Fc 1 -
iniciou iniciar VMIS3S0 1 -
se se PP3CN00 1 -
em em SP 1 -
a o DA0FS0 1 -
vida vida NCFS000 0.994169 00017222-n:0.000970057/04632157-n:0.000650021/15141059-n:0.000570493/15140892-n:0.000563752/04632963-n:0.000518851/13961642-n:0.000512845/15140405-n:0.000483898/11473291-n:0.000456418/13963192-n:0.000450554/15140744-n:0.000447653/13961399-n:0.000440464/05810561-n:0.000434132/00006269-n:0.000433834/09178727-n:0.000431295/10260706-n:0.000417213
política político AQ0FS00 0.42812 02857407-a:0.00668045/02857587-a:0.00651112
como como RG 0.205121 00159040-r:0.00711229
integrante integrante AQ0CS00 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Aliança_Renovadora_Nacional_(_Arena aliança_renovadora_nacional_(_arena NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
partido partido NCMS000 0.98773 -
de de SP 1 -
sustentação sustentação NCFS000 1 01216191-n:0.00681316
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
regime regime NCMS000 1 05909585-n:0.00644972
militar militar AQ0CS00 0.662338 -
instaurado instaurar VMP00SM 0.992504 -
em em SP 1 -
o o DA0MS0 1 -
país país NCMS000 1 08168978-n:0.00199531/08654360-n:0.0019459/08544813-n:0.0019121/08552138-n:0.00188679
em em SP 1 -
abril_de_1964 [??:??/4/1964:??.??:??] W 1 -
. . Fp 1 -

Em em SP 1 -
essa esse DD0FS0 0.887454 - esse PD0FS00 0.112546 -
legenda legenda NCFS000 0.8193 06346891-n:0.00368141/06347588-n:0.00341528
, , Fc 1 -
elegeu eleger VMIS3S0 1 -
se se PP3CN00 1 -
vereador vereador NCMS000 1 09944763-n:0.00375067/09782397-n:0.0034529
em em SP 1 -
Jales jales NP00G00 1 -
em em SP 1 -
novembro_de_1968 [??:??/11/1968:??.??:??] W 1 -
. . Fp 1 -

Ainda ainda RG 1 00047534-r:0.0273195
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
ano ano NCMS000 1 15202634-n:0.00350419/15203565-n:0.00345064/15203791-n:0.0033337/15204297-n:0.00303734/15153787-n:0.00303499/08238660-n:0.00301935/15201505-n:0.00301844/15202806-n:0.00297744/15203229-n:0.00288559/15273626-n:0.00284158
, , Fc 1 -
tornou tornar VMIS3S0 1 -
se se PP3CN00 1 -
