<OUTPUT SRCFILE="5143.raw">
SOUSA sousa NP00SP0 1 -
, , Fc 1 -
Amaral amaral NP00SP0 1 -
de de SP 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
= = Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
dep dep NCMS000 0.646911 -
. . Fp 1 -
fed fed AQ0MS00 1 -
. . Fp 1 -

RS rs NCMP000 0.875052 -
1967-1975 1967-1975 Z 1 -
; ; Fx 1 -
gov gov NCFS000 0.832672 -
. . Fp 1 -

RS rs NCMP000 0.875052 -
1979 1979 Z 1 -
- - Fg 1 -
­ ­ Fz 1 -
1983 1983 Z 1 -
. . Fp 1 -

* * Fz 1 -
    Fz 1 -
* * Fz 1 -
* * Fz 1 -
José_Augusto_Amaral_de_Sousa josé_augusto_amaral_de_sousa NP00SP0 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.021228
* * Fz 1 -
em em SP 1 -
Palmeira_das_Missões palmeira_das_missões NP00G00 1 -
( ( Fpa 1 -
RS rs NP00O00 1 -
) ) Fpt 1 -
em em SP 1 -
o o DA0MS0 1 -
dia_21_de_agosto_de_1929 [??:21/8/1929:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.0039785/09992837-n:0.00381856/10373998-n:0.00371509/09918248-n:0.00361136/09871229-n:0.00348884/09918762-n:0.00320172
de de SP 1 -
Teodomiro_Luciano_de_Sou teodomiro_luciano_de_sou NP00V00 1 -
­ ­ Fz 1 -
sa sa NCFS000 0.569952 -
e e CC 0.999951 -
de de SP 1 -
Áurea_Amaral_de_Sousa áurea_amaral_de_sousa NP00SP0 1 -
. . Fp 1 -

Iniciou iniciar VMIS3S0 1 00348746-v:0.00240279/00345761-v:0.00231346/02608347-v:0.00230171/01650610-v:0.00213132/00964911-v:0.00193916
sua seu DP3FSS 0.929764 -
vida vida NCFS000 0.994169 00017222-n:0.00117225/04632157-n:0.00096768/15141059-n:0.000855763/15140892-n:0.000847826/04632963-n:0.0007779/13961642-n:0.000749604/15140405-n:0.000729059/11473291-n:0.000678787/13963192-n:0.000675303/15140744-n:0.000674975/13961399-n:0.000659391/05810561-n:0.000650447/00006269-n:0.000650257/09178727-n:0.000646657/10260706-n:0.0006256
política político AQ0FS00 0.42812 02857407-a:0.00501324/02857587-a:0.00488449
a a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
16 16 Z 1 -
anos ano NCMP000 1 15202634-n:0.00131893/15203565-n:0.00129354/15203791-n:0.0012872/15153787-n:0.00115172/15204297-n:0.00114161/15201505-n:0.00113861/08238660-n:0.0011341/15202806-n:0.00111857/15203229-n:0.00108177/15273626-n:0.00107094
como como CS 0.751351 -
membro membro NCMS000 1 10307234-n:0.00285115/05559908-n:0.00272648/05560244-n:0.00264344/13810615-n:0.00246404
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
ala ala NCFS000 0.63812 04592741-n:0.00556728/02151625-n:0.00546237
jovem jovem AQ0CS00 0.336957 -
de de SP 1 -
