<OUTPUT SRCFILE="5150.raw">
** ** Fz 1 -
SOUSA sousa NP00SP0 1 -
, , Fc 1 -
Cláudio_Garcia cláudio_garcia NP00SP0 1 -
de de SP 1 -
** ** Fz 1 -
\ \ Fh 1 -
* * Fz 1 -
diplomata diplomata NCCS000 1 10013927-n:0.0150789/10014658-n:0.0132853
; ; Fx 1 -
emb emb NCMS000 1 -
. . Fp 1 -

Bras bras NP00SP0 1 -
. . Fp 1 -

Bolívia bolívia VMII3S0 0.62263 -
1971-1976 1971-1976 Z 1 -
; ; Fx 1 -
emb emb NCMS000 1 -
. . Fp 1 -

Bras bras NP00SP0 1 -
. . Fp 1 -

Argentina argentina NCFS000 0.375462 -
1976-1980 1976-1980 Z 1 -
. . Fp 1 -

* * Fz 1 -
    Fz 1 -
* * Fz 1 -
* * Fz 1 -
Cláudio_Garcia_de_Sousa cláudio_garcia_de_sousa NP00SP0 1 -
* * Fz 1 -
nasceu nascer VMIS3S0 1 00360932-v:0.0188952
em em SP 1 -
o o DA0MS0 1 -
Rio_de_Janeiro rio_de_janeiro NP00G00 1 -
, , Fc 1 -
então então RG 0.994792 -
Distrito_Federal distrito_federal NP00G00 1 -
, , Fc 1 -
em em SP 1 -
o o DA0MS0 1 -
dia dia NCMS000 1 15155220-n:0.00289048/15122231-n:0.00220788/15157225-n:0.00208744/15136453-n:0.00202126/15159583-n:0.0018834/15136723-n:0.00180718/15164957-n:0.00180589/15123115-n:0.00172853/15208333-n:0.00172416/15208540-n:0.00162146/15157041-n:0.00161655
1º 1º Z 1 -
de de SP 1 -
junho_de_1927 [??:??/6/1927:??.??:??] W 1 -
, , Fc 1 -
filho filho NCMS000 0.986928 10624074-n:0.00354981/09992837-n:0.00339924/10373998-n:0.0033051/09918248-n:0.00321294/09871229-n:0.00310137/09918762-n:0.0028461
de de SP 1 -
Edgar_Jovita_Garcia_de_Sousa edgar_jovita_garcia_de_sousa NP00SP0 1 -
e e CC 0.999951 -
de de SP 1 -
Odília_Tarquínio_Garcia_de_Sousa odília_tarquínio_garcia_de_sousa NP00V00 1 -
. . Fp 1 -

Bacharel bacharel NCMS000 1 10121467-n:0.0110802
em em SP 1 -
ciências ciência NCFP000 1 05999797-n:0.00269714/05985999-n:0.0024166/05636887-n:0.00240455/06000400-n:0.0023612/05999540-n:0.00228848
jurídicas jurídico AQ0FP00 1 02753724-a:0.0108779
e e CC 0.999951 -
sociais social AQ0CP00 1 02248349-a:0.00218947/02798370-a:0.00211722/02258360-a:0.0020636/01076634-a:0.00202615/02798597-a:0.00195066/02252877-a:0.00188939
por por SP 1 -
a o DA0FS0 1 -
Faculdade_Nacional_de_Direito_da_Universidade_do_Brasil faculdade_nacional_de_direito_da_universidade_do_brasil NP00O00 1 -
em em SP 1 -
1949 1949 Z 1 -
, , Fc 1 -
iniciou iniciar VMIS3S0 1 00348746-v:0.00274369/00345761-v:0.00265238/02608347-v:0.00262587/01650610-v:0.00243448/00964911-v:0.00224113
em em SP 1 -
esse esse DD0MS0 0.946429 - esse PD0MS00 0.0535714 -
mesmo mesmo PI0MS00 0.176901 -
ano ano NCMS000 1 08238660-n:0.00249022/15202634-n:0.0015022/15203791-n:0.0014995/15203565-n:0.00147583/15153787-n:0.00130886/15204297-n:0.00130245/15201505-n:0.00129677/15202806-n:0.00127715/15203229-n:0.00123517/15273626-n:0.00122212
o o DA0MS0 0.950254 -
curso curso NCMS000 0.980769 08238660-n:0.00249022/09387222-n:0.00136001/08679972-n:0.00135185/08377085-n:0.00130693/13827426-n:0.0013063/08238463-n:0.00124253/00884466-n:0.00121526/08680888-n:0.00119608/00038262-n:0.00115582/08681222-n:0.00111288/08461595-n:0.00105074
de de SP 1 -
preparação preparação NCFS000 1 01143040-n:0.00386248/00243918-n:0.00254512/00893955-n:0.0025071/14031108-n:0.00242211/01144046-n:0.00220393
para para SP 0.999444 -
a o DA0FS0 0.675415 -
carreira carreira NCFS000 1 00294452-n:0.00406126/00449295-n:0.00402596/00440039-n:0.00379608
de de SP 1 -
diplomata diplomata NCCS000 1 10013927-n:0.00646812/10014658-n:0.0056932
ministrado ministrar VMP00SM 0.679078 02336483-v:0.0114149
por por SP 1 -
o o DA0MS0 1 -
Instituto_Rio_Branco instituto_rio_branco NP00O00 1 -
, , Fc 1 -
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Ministério_das_Relações_Exteriores ministério_das_relações_exteriores NP00O00 1 -
. . Fp 1 -

Enquanto enquanto RG 0.97619 00022131-r:0.0139289
universitário universitário AQ0MS00 0.66129 02699524-a:0.0146228
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.00179624/02051694-v:0.0010191/01955984-v:0.000951062/01995549-v:0.000925737/02072849-v:0.000913517/01904930-v:0.000871716/02009433-v:0.000857063/01935233-v:0.000830854/01957529-v:0.000826484/02102398-v:0.000803356/00341560-v:0.000789585/01882814-v:0.000745272/02058994-v:0.00074359/02685951-v:0.000741367/01846916-v:0.000735546/02102002-v:0.00073211/01849221-v:0.000728587/01841079-v:0.000699422/02686471-v:0.000681418/01839538-v:0.000662477/00343898-v:0.000652688
vice vice AQ0CN00 1 -
presidente presidente NCMS000 1 -
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
União_Metropolitana_de_Estudantes união_metropolitana_de_estudantes NP00O00 1 -
( ( Fpa 1 -
UME ume NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
presidente presidente NCMS000 0.998938 10467395-n:0.000101871/10467179-n:1.79411e-05/10468962-n:1.06059e-05/10468750-n:1.04408e-05/10469346-n:4.43079e-06/10468559-n:3.75126e-06
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
Diretório_Central_de_Estudantes diretório_central_de_estudantes NP00O00 1 -
e e CC 0.999951 -
membro membro NCMS000 1 10307234-n:0.00410632/05559908-n:0.00395697/05560244-n:0.0037958/13810615-n:0.00358303
de de SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
conselho conselho NCMS000 1 06671484-n:0.0158531
universitário universitário AQ0MS00 0.66129 02699524-a:0.0146228
de de SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Universidade_do_Brasil universidade_do_brasil NP00O00 1 -
. . Fp 1 -

Em em SP 1 -
1950 1950 Z 1 -
passou passar VMIS3S0 1 01212230-v:0.00553429/02709277-v:0.00516704/00106960-v:0.00507256
a a SP 0.313151 -
integrar integrar VMN0000 0.329032 00466651-v:0.00591799/00642980-v:0.00558895/00467451-v:0.00543937
o o DA0MS0 0.950254 -
quadro quadro NCMS000 0.993421 04076846-n:0.0169429
de de SP 1 -
