<OUTPUT SRCFILE="8871.raw">
** ** Fz 1 -
SERVIÇO_NACIONAL_DE_APRENDIZAGEM_INDUSTRIAL serviço_nacional_de_aprendizagem_industrial NP00V00 1 -
( ( Fpa 1 -
Senai senai NP00SP0 1 -
) ) Fpt 1 -
** ** Fz 1 -
    Fz 1 -
Instituição instituição NCFS000 1 08053576-n:0.00264577/03574555-n:0.00254599/00240184-n:0.00241362/08407330-n:0.00227557
de de SP 1 -
direito direito NCMS000 0.936047 -
privado privar VMP00SM 0.646957 02314275-v:0.0028049/02313250-v:0.00270117/01858094-a:0.00264604/00172732-v:0.00251133
, , Fc 1 -
de de SP 1 -
personalidade personalidade NCFS000 1 04617562-n:0.00187516/04618070-n:0.00175745/04763293-n:0.00173792/10748620-n:0.00157157/04620216-n:0.00155453/10417424-n:0.00153072
jurídica jurídico AQ0FS00 1 02753724-a:0.00895999
própria próprio AQ0FS00 0.994186 01104026-a:0.00489031/01104889-a:0.00454534
, , Fc 1 -
criada criar VMP00SF 0.72093 01617192-v:0.00273427/01753788-v:0.00259949/01621555-v:0.00230818/01640207-v:0.00212268/01685313-v:0.00188004
por por SP 1 -
o o DA0MS0 1 -
Decreto decreto NP00O00 1 06539770-n:0.00964405
nº nº NCMS000 1 -
4.048 4048 Z 1 -
, , Fc 1 -
de de SP 1 -
22_de_janeiro_de_1942 [??:22/1/1942:??.??:??] W 1 -
, , Fc 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
objetivo objetivo NCMS000 1 05982915-n:0.00944316
de de SP 1 -
manter manter VMN0000 0.533333 00117985-v:0.00196282/02202384-v:0.00179286/02225492-v:0.00174179/02679899-v:0.00167798/01184625-v:0.00162088/01016778-v:0.00159352
escolas escola NCFP000 1 08276720-n:0.00185875/08278324-n:0.00146714/04146050-n:0.0013273/08277805-n:0.00128464/08278169-n:0.00127962/08275185-n:0.00127139/08412749-n:0.00126645/08277393-n:0.00122414
em em SP 1 -
articulação articulação NCFS000 1 05595083-n:0.00259847/13911151-n:0.00243847/07073208-n:0.00232599/00147314-n:0.00228788
com com SP 1 -
as o DA0FP0 0.974798 -
empresas empresa NCFP000 0.996795 08056231-n:0.0100229
fabris fabril AQ0CP00 1 -
. . Fp 1 -

É ser VMIP3S0 1 02604760-v:0.0475815
subordinado subordinar VMP00SM 0.704273 00792991-a:0.0221609/02634667-v:0.0205249
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Confederação_Nacional_da_Indústria confederação_nacional_da_indústria NP00O00 1 -
( ( Fpa 1 -
CNI cni NP00O00 1 -
) ) Fpt 1 -
. . Fp 1 -

    Fz 1 -
Antecedentes antecedente AQ0CP00 0.558323 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
    Fz 1 -
O o DA0MS0 0.950254 -
primeiro primeiro AO0MS00 0.722944 01012990-a:0.00640395
ensaio ensaio NCMS000 0.914005 06409562-n:0.00720332
de de SP 1 -
ensino ensino NCMS000 0.993421 00883297-n:0.00745519
profissional profissional AQ0CS00 0.567364 01868724-a:0.00208958/01870100-a:0.00179587/02556402-a:0.00174233/02839505-a:0.00169338
sistemático sistemático AQ0MS00 1 02382934-a:0.0066944
, , Fc 1 -
associado associar VMP00SM 0.721918 00713167-v:0.00722534
diretamente diretamente RG 1 00051017-r:0.00679479
a a SP 1 -
o o DA0MS0 0.950254 - o PD0MS00 0.0313531 - o PP3MSA0 0.0183743 - o NCMS000 1.85412e-05 -
trabalho trabalho NCMS000 0.997967 00575741-n:0.00120213/00582388-n:0.00101239/00584367-n:0.000949928/00796886-n:0.000792323/04602044-n:0.000786871/00576877-n:0.000735186/00581241-n:0.00071827/00621476-n:0.00070712/08137495-n:0.00069385/00576717-n:0.000668346
de de SP 1 -
produção produção NCFS000 1 04007894-n:0.00142635/06613686-n:0.00109833/03287178-n:0.000975736/00912960-n:0.000869227/00913705-n:0.000795203/13758745-n:0.000787749/07006951-n:0.000725526/04612722-n:0.000722078/03860882-n:0.000718419/03841417-n:0.000672653
, , Fc 1 -
foi ir VMIS3S0 0.5 01835496-v:0.000893571/02051694-v:0.000465655/01955984-v:0.000449504/01995549-v:0.000445271/01904930-v:0.000429952/02072849-v:0.000421801/02009433-v:0.00040445/01957529-v:0.000399291/01935233-v:0.000383797/00341560-v:0.000379186/02102398-v:0.000374462/02685951-v:0.000345952/02058994-v:0.000344254/01882814-v:0.000343809/02102002-v:0.000342924/01846916-v:0.000340922/01849221-v:0.00033929/01841079-v:0.000322905/02686471-v:0.000311988/01839538-v:0.00030482/00343898-v:0.000300124
feito fazer VMP00SM 0.992095 01640207-v:0.00193405/01685313-v:0.00158868/00120316-v:0.000775312/02367363-v:0.000715368/01752884-v:0.000694219/01629000-v:0.000555865/01645601-v:0.000498826/02526085-v:0.000445601/01627355-v:0.000396898/01652139-v:0.000350481/00010435-v:0.000333183/01712704-v:0.000320894/01752495-v:0.000310492/01714208-v:0.000300612/01754737-v:0.000297883/01719921-v:0.000288444/01642924-v:0.000282138/01628197-v:0.000282026/01438902-v:0.000272772/02560767-v:0.000272226/01739814-v:0.000267315/00665476-v:0.000265052/01431987-v:0.000257887/02374764-v:0.00025407/01649024-v:0.000248414/00012267-v:0.000248028/02599636-v:0.000238832
em em SP 1 -
o o DA0MS0 1 -
Brasil brasil NP00O00 1 12489524-n:0.00715233
por por SP 1 -
os o DA0MP0 1 -
arsenais arsenal NCMP000 1 02743426-n:0.00224315/02743207-n:0.00222411/02741367-n:0.00218455
de de SP 1 -
guerra guerra NCFS000 1 00973077-n:0.00296636/13981403-n:0.00227752/01236296-n:0.00225447
e e CC 0.999951 -
de de SP 1 -
marinha marinha NCFS000 0.398911 08191701-n:0.0070727
que que PR0CN00 0.584265 -
, , Fc 1 -
a_partir_de a_partir_de SP 1 -
1810 1810 Z 1 -
, , Fc 1 -
criaram criar VMIS3P0 0.65 01621555-v:0.0026068/01617192-v:0.00259144/01753788-v:0.00197751/01640207-v:0.00193405/01685313-v:0.00158868
escolas escola NCFP000 1 08276720-n:0.00142406/08278324-n:0.00105664/04146050-n:0.00103503/08277805-n:0.000919268/08412749-n:0.000910684/08278169-n:0.000910292/08275185-n:0.000901661/08277393-n:0.000871274
e e CC 0.999951 -
companhias companhia NCFP000 1 08058098-n:0.00120324/08208560-n:0.00102895/08274354-n:0.000962333/08056231-n:0.000955778/08187033-n:0.000931009/08214272-n:0.000896319/08274443-n:0.000874661/08218122-n:0.000842797
de de SP 1 -
artífices artífice NCCP000 1 10214637-n:0.00245783/09974648-n:0.00244315/10126177-n:0.00235818
junto junto RG 0.984962 -
a a SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
locais local NCFP000 0.262887 08621598-n:0.00370928/08622950-n:0.00359421
de de SP 1 -
fabricação fabricação NCFS000 1 00923995-n:0.0023684/00912001-n:0.00232136/00924825-n:0.00228666
de de SP 1 -
armamentos armamento NCMP000 1 02738031-n:0.00301754/04566257-n:0.00284544/01156899-n:0.00227451
. . Fp 1 -

Mais mais RG 0.999721 00029367-r:0.0120805/00099712-r:0.0101834
tarde tarde RG 0.248768 -
as o DA0FP0 0.974798 -
ferrovias ferrovia NCFP000 1 04048075-n:0.0172664
fundaram fundar VMIS3P0 0.65 -
escolas escola NCFP000 1 08276720-n:0.00316268/08278324-n:0.0024269/08412749-n:0.00225354/04146050-n:0.00225127/08278169-n:0.00217644/08277805-n:0.00217218/08275185-n:0.00208758/08277393-n:0.00207983
e e CC 0.999951 -
cursos curso NCMP000 1 08679972-n:0.00189622/09387222-n:0.00187869/08238463-n:0.00187603/13827426-n:0.00183476/08377085-n:0.00180951/08238660-n:0.00171055/00884466-n:0.00167588/08680888-n:0.00167438/00038262-n:0.00157577/08681222-n:0.00155844/08461595-n:0.0014696
anexos anexo AQ0MP00 0.517352 -
ou ou CC 1 -
ligados ligar VMP00PM 0.972603 01354673-v:0.00616993/02623194-v:0.00424624/01355411-v:0.00398564/00667936-a:0.00383143
a a SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
suas seu DP3FSP 0.994048 -
oficinas oficina NCFP000 1 04602044-n:0.00941893/04603081-n:0.0092554
de de SP 1 -
manutenção manutenção NCFS000 1 13365286-n:0.00978685/13366311-n:0.00791882
. . Fp 1 -

A o DA0FS0 0.675415 -
primeira primeiro AO0FS00 0.963287 01012990-a:0.0256061
de de SP 1 -
essas esse DD0FP0 1 -
unidades unidade NCFP000 1 00003553-n:0.00783679/13583724-n:0.00761409/13810323-n:0.00711924/09465459-n:0.00702637
foi ir VMIS3S0 0.5 01835496-v:0.00322675/02051694-v:0.00185244/01955984-v:0.00172699/01995549-v:0.00168354/02072849-v:0.00166761/02009433-v:0.00155801/01904930-v:0.0015547/01935233-v:0.00151821/01957529-v:0.00149481/02102398-v:0.00146488/00341560-v:0.00144328/01882814-v:0.0013629/02058994-v:0.00135795/02685951-v:0.00135224/01846916-v:0.00134503/02102002-v:0.00133845/01849221-v:0.00133181/01841079-v:0.00128034/02686471-v:0.0012429/01839538-v:0.00121399/00343898-v:0.00119545
a o DA0FS0 0.675415 -
