<OUTPUT SRCFILE="8873.raw">
Instituição instituição NCFS000 1 08053576-n:0.0018905/03574555-n:0.0018829/08407330-n:0.00185388/00240184-n:0.00178375
de de SP 1 -
direito direito NCMS000 0.936047 -
privado privar VMP00SM 0.646957 02314275-v:0.00207887/02313250-v:0.00199381/01858094-a:0.00193428/00172732-v:0.0018578
subordinada subordinar VMP00SF 0.608553 00792991-a:0.00385863/02634667-v:0.00357088
a a SP 1 -
a o DA0FS0 0.675415 - a SP 0.313151 - o PP3FSA0 0.00613742 - o PD0FS00 0.00514062 - a NCMS000 0.000156639 -
Confederação_Nacional_da_Indústria confederação_nacional_da_indústria NP00O00 1 -
( ( Fpa 1 -
CNI cni NP00O00 1 -
) ) Fpt 1 -
, , Fc 1 -
e e CC 0.999951 -
criada criar VMP00SF 0.72093 01617192-v:0.00220736/01621555-v:0.00184661/01753788-v:0.00167581/01640207-v:0.00157531/01685313-v:0.00139896
por por SP 1 -
o o DA0MS0 1 -
Decreto-Lei decreto-lei NP00O00 1 -
nº nº NCMS000 1 -
9.043 9043 Z 1 -
, , Fc 1 -
de de SP 1 -
25_de_junho_de_1946 [??:25/6/1946:??.??:??] W 1 -
, , Fc 1 -
com com SP 1 -
o o DA0MS0 0.950254 -
objetivo objetivo NCMS000 1 05982915-n:0.00698246
de de SP 1 -
estudar estudar VMN0000 0.529581 00607405-v:0.00211054/00597915-v:0.00202181/00607114-v:0.00184454/00599992-v:0.00179275
, , Fc 1 -
planejar planejar VMN0000 1 00704690-v:0.00376774/00705227-v:0.00358669
e e CC 0.999951 -
executar executar VMN0000 0.529581 02367363-v:0.00116595/00486018-v:0.00100916/02526085-v:0.000984978/01755816-v:0.000914105/01640855-v:0.000863155/01712704-v:0.000592049/02483267-v:0.000583488/02582615-v:0.000553391/01724459-v:0.000533945/01714208-v:0.000521056/02560767-v:0.000500841/02374764-v:0.000474545/02484208-v:0.000460489/01649809-v:0.000459647/02599636-v:0.000452182
, , Fc 1 -
direta direta NCFS000 1 -
ou ou CC 1 -
indiretamente indiretamente RG 1 00058359-r:0.00760958
, , Fc 1 -
medidas medida NCFP000 0.982301 00996969-n:0.00166496/05098942-n:0.00163362/05098311-n:0.00159069/00033615-n:0.00146186/05093581-n:0.00144715
contributivas contributivo AQ0FP00 1 -
para para SP 0.999444 -
o o DA0MS0 0.950254 -
bem-estar bem-estar NCMS000 1 14447525-n:0.00732156
social social AQ0CS00 1 02248349-a:0.00135364/02798370-a:0.00133982/02258360-a:0.00125722/01076634-a:0.00123476/02798597-a:0.00119217/02252877-a:0.00115129
de de SP 1 -
os o DA0MP0 0.958022 - o PD0MP00 0.021587 - o PP3MPA0 0.0203911 -
trabalhadores trabalhador NCMP000 0.993827 10053808-n:0.00204905/10791221-n:0.00202471/10241300-n:0.00196271/10481711-n:0.00186588
em em SP 1 -
a o DA0FS0 1 -
indústria indústria NCFS000 1 08065234-n:0.00390076/00923444-n:0.00367352
e e CC 0.999951 -
atividades atividade NCFP000 1 00037396-n:0.00257211/00407535-n:0.00182421/14006945-n:0.00158779/01095753-n:0.00145271/00876737-n:0.00135478
similares similar AQ0CP00 1 02071420-a:0.00409553/01410606-a:0.0036265
. . Fp 1 -

ANTECEDENTES antecedentes NP00V00 1 07326880-n:0.00543312
Devido dever VMP00SM 0.986928 02254155-v:0.00293288/02253956-v:0.00282871
a a SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
transformações transformação NCFP000 1 07359599-n:0.00154227/13785136-n:0.00146072/00398704-n:0.00139826/00399030-n:0.00138015
decorrentes decorrente AQ0CP00 1 00122844-a:0.00581409
de de SP 1 -
as o DA0FP0 0.974798 - o PD0FP00 0.0142702 - o PP3FPA0 0.0109322 -
duas 2 Z 1 -
