lemma,poscode,surface
Plano 2000,3,Plano 2000
Plano 2010,3,Plano 2010
Plano 2015,3,Plano 2015
Plano 90,3,Plano 90
Plano 95,3,Plano 95
Plano Agropecuário e Florestal de Rondônia (Planafloro),3,Plano Agropecuário e Florestal de Rondônia (Planafloro)
Plano Agrário Estadual,3,Plano Agrário Estadual
Plano Agrícola e Pecuário,3,Plano Agrícola e Pecuário
Plano Amazônia Sustentável (PAS),3,Plano Amazônia Sustentável (PAS)
Plano Aranha,3,Plano Aranha
Plano Badajos ,3,Plano Badajos
Plano Baker,3,Plano Baker
Plano Baruch às Nações Unidas,3,Plano Baruch às Nações Unidas
Plano Brady,3,Plano Brady
Plano Brasil Novo,3,Plano Brasil Novo
Plano Brasil em Ação,3,Plano Brasil em Ação
Plano Bresser,3,Plano Bresser
Plano Bresser ,3,Plano Bresser
Plano Bush,3,Plano Bush
Plano Básico de Desenvolvimento Científico e Tecnológico (PBDCT),3,Plano Básico de Desenvolvimento Científico e Tecnológico (PBDCT)
Plano Cavallo,3,Plano Cavallo
Plano Cohen ,3,Plano Cohen
Plano Collor ,3,Plano Collor
Plano Collor I,3,Plano Collor I
Plano Collor II,3,Plano Collor II
Plano Colômbia,3,Plano Colômbia
Plano Cruzado,3,Plano Cruzado
Plano Cruzado I,3,Plano Cruzado I
Plano Cruzado II,3,Plano Cruzado II
Plano Decenal,3,Plano Decenal
Plano Diretor ,3,Plano Diretor
Plano Diretor da Barra da Tijuca,3,Plano Diretor da Barra da Tijuca
Plano Diretor da Cidade do Rio de Janeiro,3,Plano Diretor da Cidade do Rio de Janeiro
Plano Diretor da Marinha,3,Plano Diretor da Marinha
Plano Diretor da Sudene ,3,Plano Diretor da Sudene
Plano Diretor da capital federal,3,Plano Diretor da capital federal
Plano Diretor da cidade,3,Plano Diretor da cidade
Plano Diretor da cidade de Goiânia,3,Plano Diretor da cidade de Goiânia
Plano Diretor de Curitiba,3,Plano Diretor de Curitiba
Plano Diretor de Desenvolvimento Econômico e Social do Nordeste,3,Plano Diretor de Desenvolvimento Econômico e Social do Nordeste
Plano Diretor de Desenvolvimento do Nordeste,3,Plano Diretor de Desenvolvimento do Nordeste
Plano Diretor de Informática,3,Plano Diretor de Informática
Plano Diretor de Meio Ambiente,3,Plano Diretor de Meio Ambiente
Plano Diretor de Porto Alegre,3,Plano Diretor de Porto Alegre
Plano Diretor de Porto Seguro/Santa Cruz de Cabrália,3,Plano Diretor de Porto Seguro/Santa Cruz de Cabrália
Plano Diretor do Delta do Jacuí,3,Plano Diretor do Delta do Jacuí
Plano Diretor do Desenvolvimento Urbano,3,Plano Diretor do Desenvolvimento Urbano
Plano Diretor do Exército,3,Plano Diretor do Exército
Plano Diretor do Mercado de Capitais (Bovespa e Abamec),3,Plano Diretor do Mercado de Capitais (Bovespa e Abamec)
Plano Diretor do Município,3,Plano Diretor do Município
Plano Diretor do Porto de São Francisco do Sul,3,Plano Diretor do Porto de São Francisco do Sul
Plano Econômico de Longo Prazo,3,Plano Econômico de Longo Prazo
Plano Encore,3,Plano Encore
Plano Especial de Bolsas de Estudo (PEBE),3,Plano Especial de Bolsas de Estudo (PEBE)
Plano Especial de Obras Públicas e Aparelhamento da Defesa,3,Plano Especial de Obras Públicas e Aparelhamento da Defesa
Plano Estadual de Ajuda aos Municípios,3,Plano Estadual de Ajuda aos Municípios
Plano Estadual de Desenvolvimento,3,Plano Estadual de Desenvolvimento
Plano Estadual de Desenvolvimento Econômico,3,Plano Estadual de Desenvolvimento Econômico
Plano Estadual de Desenvolvimento Urbano (PEDU),3,Plano Estadual de Desenvolvimento Urbano (PEDU)
Plano Estadual de Desestatização (PED),3,Plano Estadual de Desestatização (PED)
Plano Estadual de Telecomunicações,3,Plano Estadual de Telecomunicações
Plano Estratégico da Cidade,3,Plano Estratégico da Cidade
Plano Estratégico de Desenvolvimento,3,Plano Estratégico de Desenvolvimento
Plano Estratégico de Desenvolvimento (PED),3,Plano Estratégico de Desenvolvimento (PED)
Plano Estratégico de Reforma Agrária,3,Plano Estratégico de Reforma Agrária
Plano Estratégico do Sistema Sesi de Educação,3,Plano Estratégico do Sistema Sesi de Educação
Plano FHC II,3,Plano FHC II
Plano Fênix,3,Plano Fênix
Plano Geral de Informações Estatísticas e Geográficas ,3,Plano Geral de Informações Estatísticas e Geográficas
Plano Geral de Informações Estatísticas e Geográficas (PGIEG) ,3,Plano Geral de Informações Estatísticas e Geográficas (PGIEG)
Plano Geral de Obras do Exército,3,Plano Geral de Obras do Exército
Plano Geral de Outorgas,3,Plano Geral de Outorgas
Plano Geral de Outorgas (PGO),3,Plano Geral de Outorgas (PGO)
Plano Geral de Viação,3,Plano Geral de Viação
Plano Geral de Viação Nacional,3,Plano Geral de Viação Nacional
Plano Habitacional,3,Plano Habitacional
Plano Hoffmann,3,Plano Hoffmann
Plano Integrado de Desenvolvimento do município,3,Plano Integrado de Desenvolvimento do município
Plano Integrado de Educação,3,Plano Integrado de Educação
Plano Integrado de Saúde,3,Plano Integrado de Saúde
Plano Lafer,3,Plano Lafer
Plano Marshall,3,Plano Marshall
Plano Metropolitano de Desenvolvimento Integrado,3,Plano Metropolitano de Desenvolvimento Integrado
Plano Mineiro de Desenvolvimento Econômico e Social,3,Plano Mineiro de Desenvolvimento Econômico e Social
Plano Municipal de Turismo,3,Plano Municipal de Turismo
Plano Mário Leal Ferreira,3,Plano Mário Leal Ferreira
Plano Nacional da Aguardente,3,Plano Nacional da Aguardente
Plano Nacional da Cachaça de Alambique (PNCa),3,Plano Nacional da Cachaça de Alambique (PNCa)
Plano Nacional da Habitação,3,Plano Nacional da Habitação
Plano Nacional da Indústria Automobilística,3,Plano Nacional da Indústria Automobilística
Plano Nacional da Juventude,3,Plano Nacional da Juventude
Plano Nacional de Café,3,Plano Nacional de Café
Plano Nacional de Cooperação Técnico-Científica Interregional,3,Plano Nacional de Cooperação Técnico-Científica Interregional
Plano Nacional de Cultura,3,Plano Nacional de Cultura
Plano Nacional de Cultura (PEC nº 306/00),3,Plano Nacional de Cultura (PEC nº 306/00)
Plano Nacional de Defesa,3,Plano Nacional de Defesa
Plano Nacional de Desenvolvimento (PND),3,Plano Nacional de Desenvolvimento (PND)
Plano Nacional de Desestatização (PND),3,Plano Nacional de Desestatização (PND)
Plano Nacional de Direitos Humanos,3,Plano Nacional de Direitos Humanos
Plano Nacional de Educação,3,Plano Nacional de Educação
Plano Nacional de Eletrificação,3,Plano Nacional de Eletrificação
Plano Nacional de Energia,3,Plano Nacional de Energia
Plano Nacional de Fabricação de Veículos a Motor,3,Plano Nacional de Fabricação de Veículos a Motor
Plano Nacional de Habitação Popular (Planhap),3,Plano Nacional de Habitação Popular (Planhap)
Plano Nacional de Informática (II Planin),3,Plano Nacional de Informática (II Planin)
Plano Nacional de Informática e Automação (Planin II),3,Plano Nacional de Informática e Automação (Planin II)
Plano Nacional de Juventude,3,Plano Nacional de Juventude
Plano Nacional de Normatização,3,Plano Nacional de Normatização
Plano Nacional de Políticas para as Mulheres (PNPM),3,Plano Nacional de Políticas para as Mulheres (PNPM)
Plano Nacional de Portos de Pesca,3,Plano Nacional de Portos de Pesca
Plano Nacional de Reaparelhamento Econômico ,3,Plano Nacional de Reaparelhamento Econômico
Plano Nacional de Recursos Hídricos,3,Plano Nacional de Recursos Hídricos
Plano Nacional de Reforma Agrária,3,Plano Nacional de Reforma Agrária
Plano Nacional de Reforma Agrária (PNRA),3,Plano Nacional de Reforma Agrária (PNRA)
Plano Nacional de Reforma Agrária da Nova República,3,Plano Nacional de Reforma Agrária da Nova República
Plano Nacional de Saneamento (Planase),3,Plano Nacional de Saneamento (Planase)
Plano Nacional de Saúde,3,Plano Nacional de Saúde
Plano Nacional de Segurança Pública (PNSP),3,Plano Nacional de Segurança Pública (PNSP)
Plano Nacional de Sementes,3,Plano Nacional de Sementes
Plano Nacional de Telecomunicações,3,Plano Nacional de Telecomunicações
Plano Nacional de Turismo,3,Plano Nacional de Turismo
Plano Nacional de Viação,3,Plano Nacional de Viação
Plano Nacional do Carvão,3,Plano Nacional do Carvão
Plano Nacional do Trigo,3,Plano Nacional do Trigo
Plano Nacional do Turismo,3,Plano Nacional do Turismo
Plano Nacional dos Direitos Humanos,3,Plano Nacional dos Direitos Humanos
Plano Noroeste I,3,Plano Noroeste I
Plano Novo Cruzado,3,Plano Novo Cruzado
Plano Pastoral de Conjunto,3,Plano Pastoral de Conjunto
Plano Piloto,3,Plano Piloto
Plano Piloto de Alfabetização,3,Plano Piloto de Alfabetização
Plano Plurianual,3,Plano Plurianual
Plano Plurianual (1996-1999),3,Plano Plurianual (1996-1999)
Plano Plurianual (PPA),3,Plano Plurianual (PPA)
Plano Plurianual 2000-2003,3,Plano Plurianual 2000-2003
Plano Plurianual de Investimentos (PPA),3,Plano Plurianual de Investimentos (PPA)
Plano Prioritário de Investimentos (PPI),3,Plano Prioritário de Investimentos (PPI)
Plano Qüinqüenal,3,Plano Qüinqüenal
Plano Qüinqüenal da Reforma Agrária Brasileira (1967-1971),3,Plano Qüinqüenal da Reforma Agrária Brasileira (1967-1971)
Plano Qüinqüenal de Desenvolvimento de Minas Gerais,3,Plano Qüinqüenal de Desenvolvimento de Minas Gerais
Plano Real ,3,Plano Real
Plano Regional de Desenvolvimento do Vale do Paraíba,3,Plano Regional de Desenvolvimento do Vale do Paraíba
Plano Regulador da Cidade,3,Plano Regulador da Cidade
Plano Rodoviário,3,Plano Rodoviário
Plano Rodoviário Nacional,3,Plano Rodoviário Nacional
Plano Rodoviário do Estado,3,Plano Rodoviário do Estado
Plano Rodoviário do Paraná,3,Plano Rodoviário do Paraná
Plano Rodoviário para a Interiorização do Desenvolvimento (Proinde),3,Plano Rodoviário para a Interiorização do Desenvolvimento (Proinde)
Plano Safra,3,Plano Safra
Plano Salte ,3,Plano Salte
Plano Siderúrgico Nacional,3,Plano Siderúrgico Nacional
Plano Sousa Costa,3,Plano Sousa Costa
Plano Tamura,3,Plano Tamura
Plano Trienal ,3,Plano Trienal
Plano Trienal de Desenvolvimento Econômico,3,Plano Trienal de Desenvolvimento Econômico
Plano Trienal de Desenvolvimento Econômico e Social,3,Plano Trienal de Desenvolvimento Econômico e Social
Plano Trienal do Ministério do Planejamento,3,Plano Trienal do Ministério do Planejamento
Plano Urbanístico Básico e do Plano Metropolitano de Desenvolvimento,3,Plano Urbanístico Básico e do Plano Metropolitano de Desenvolvimento
Plano Urbanístico Básico para São Paulo,3,Plano Urbanístico Básico para São Paulo
Plano Verão,3,Plano Verão
Plano Verão,3,Plano Verão
Plano da Casa Própria Popular,3,Plano da Casa Própria Popular
Plano da Cidade ,3,Plano da Cidade
Plano da Cidade de Recife,3,Plano da Cidade de Recife
Plano da Lavoura Cacaueira (CEPLAC),3,Plano da Lavoura Cacaueira (CEPLAC)
Plano da Pastoral de Conjunto,3,Plano da Pastoral de Conjunto
Plano da Universidade do Brasil,3,Plano da Universidade do Brasil
Plano das Capturas,3,Plano das Capturas
Plano de 1960,3,Plano de 1960
Plano de Aceleração do Crescimento (PAC),3,Plano de Aceleração do Crescimento (PAC)
Plano de Amparo ao Servidor Público (Pasep),3,Plano de Amparo ao Servidor Público (Pasep)
Plano de Aperfeiçoamento de Pessoal de Nível Superior,3,Plano de Aperfeiçoamento de Pessoal de Nível Superior
Plano de Aplicação,3,Plano de Aplicação
Plano de Aplicação dos Recursos Orçamentários na Região Geoeconômica,3,Plano de Aplicação dos Recursos Orçamentários na Região Geoeconômica
Plano de Assistência Médica,3,Plano de Assistência Médica
Plano de Assistência ao Funcionário,3,Plano de Assistência ao Funcionário
Plano de Atendimento Médico para o Centro,3,Plano de Atendimento Médico para o Centro
Plano de Atendimento à Saúde (PAS),3,Plano de Atendimento à Saúde (PAS)
Plano de Ação,3,Plano de Ação
Plano de Ação Econômica do Governo (PAEG),3,Plano de Ação Econômica do Governo (PAEG)
