lemma,poscode,surface
Guerra de Canudos,3,Guerra de Canudos
Revolução Constitucionalista de 1932,3,Revolução Constitucionalista de 1932
Revolução Federalista,3,Revolução Federalista
Independência da Bahia,3,Independência da Bahia
Insurreição Pernambucana,3,Insurreição Pernambucana
Tenentismo,3,Tenentismo
Lutas e revoluções no Brasil,3,Lutas e revoluções no Brasil
Movimento Separatista do Norte (1821-23),3,Movimento Separatista do Norte (1821-23)
Revolução de 1930,3,Revolução de 1930
Aldeamentos missionários,3,Aldeamentos missionários
Aclamação de Amador Bueno,3,Aclamação de Amador Bueno
Revolta da Armada,3,Revolta da Armada
Balaiada,3,Balaiada
Revolta das Barcas,3,Revolta das Barcas
Cabanada,3,Cabanada
Cabanagem,3,Cabanagem
Revolta da Cachaça,3,Revolta da Cachaça
Guerrilha do Caparaó,3,Guerrilha do Caparaó
Revolta de Carrancas,3,Revolta de Carrancas
Levante de Catas Altas,3,Levante de Catas Altas
Revolta da Catraca,3,Revolta da Catraca
Revolta da Chibata,3,Revolta da Chibata
Coluna da Morte,3,Coluna da Morte
Coluna Prestes,3,Coluna Prestes
Confederação dos Cariris,3,Confederação dos Cariris
Confederação do Equador,3,Confederação do Equador
Conspiração do Curvelo,3,Conspiração do Curvelo
Guerra do Contestado,3,Guerra do Contestado
Guerra dos Emboabas,3,Guerra dos Emboabas
Federação do Guanais,3,Federação do Guanais
Revolta de Filipe dos Santos,3,Revolta de Filipe dos Santos
Guerra da carne,3,Guerra da carne
Guerra dos Aimorés,3,Guerra dos Aimorés
Guerra do Pente,3,Guerra do Pente
Guerrilha de Três Passos,3,Guerrilha de Três Passos
Levante integralista,3,Levante integralista
Intentona Comunista,3,Intentona Comunista
Revolta de Jacareacanga,3,Revolta de Jacareacanga
Revolta dos Malês,3,Revolta dos Malês
Levante dos Marimbondos,3,Levante dos Marimbondos
Guerra dos Mascates,3,Guerra dos Mascates
Motim das Mulheres,3,Motim das Mulheres
Motins do Maneta,3,Motins do Maneta
Revolta Paulista de 1924,3,Revolta Paulista de 1924
Revolta dos Perdidos,3,Revolta dos Perdidos
Revolução Praieira,3,Revolução Praieira
Revolta do Quebra-Quilos,3,Revolta do Quebra-Quilos
Revolta de Ibicaba,3,Revolta de Ibicaba
Revolta de Santo Amaro,3,Revolta de Santo Amaro
Revolta do Ano da Fumaça,3,Revolta do Ano da Fumaça
Revolução Pernambucana,3,Revolução Pernambucana
Revolta de Ribeirãozinho,3,Revolta de Ribeirãozinho
Revolta do Ronco da Abelha,3,Revolta do Ronco da Abelha
Sabinada,3,Sabinada
Revolta do Sal,3,Revolta do Sal
Sedição de Juazeiro,3,Sedição de Juazeiro
Setembrada,3,Setembrada
Revolta da Vacina,3,Revolta da Vacina
Revolta do Vintém (Paraná),3,Revolta do Vintém (Paraná)
Revolta do Vintém (Rio de Janeiro),3,Revolta do Vintém (Rio de Janeiro)
Balaiada,3,Balaiada
Conjuração baiana,3,Conjuração baiana
Inconfidência Mineira,3,Inconfidência Mineira
Conjuração Carioca,3,Conjuração Carioca
Conspiração do Curvelo,3,Conspiração do Curvelo
Conspiração dos Suaçunas,3,Conspiração dos Suaçunas
Revolução Pernambucana,3,Revolução Pernambucana
Confederação do Equador,3,Confederação do Equador
Federação do Guanais,3,Federação do Guanais
Movimento Separatista do Norte (1821-23),3,Movimento Separatista do Norte (1821-23)
O Sul É o Meu País,3,O Sul É o Meu País
Plebisul,3,Plebisul
República de Pastos Bons,3,República de Pastos Bons
República Juliana,3,República Juliana
República Rio-Grandense,3,República Rio-Grandense
Revolta dos Malês,3,Revolta dos Malês
Sabinada,3,Sabinada
Separatismo Paulista de 1887,3,Separatismo Paulista de 1887
Conjuração de "Nosso Pai",3,Conjuração de "Nosso Pai"
Guerra dos Emboabas,3,Guerra dos Emboabas
Guerra dos Mascates,3,Guerra dos Mascates
Motins do Maneta,3,Motins do Maneta
Aclamação de Amador Bueno,3,Aclamação de Amador Bueno
Revolta da Cachaça,3,Revolta da Cachaça
Revolta de Beckman,3,Revolta de Beckman
Revolta de Filipe dos Santos,3,Revolta de Filipe dos Santos
Revolta do Sal,3,Revolta do Sal
Massacre do Carandiru,3,Massacre do Carandiru
Rebelião de Pedrinhas em 2010,3,Rebelião de Pedrinhas em 2010
Revoltas liberais de 1842,3,Revoltas liberais de 1842
Batalha de Santa Luzia,3,Batalha de Santa Luzia
Batalha da Venda Grande,3,Batalha da Venda Grande
Entrincheiramentos de Santa Luzia,3,Entrincheiramentos de Santa Luzia
Revolução de 1923,3,Revolução de 1923
Revolução Farroupilha,3,Revolução Farroupilha
Revolta dos Muckers,3,Revolta dos Muckers
Cerro do Inhacurutum,3,Cerro do Inhacurutum
Guerra Guaranítica,3,Guerra Guaranítica
Revolta dos Colonos,3,Revolta dos Colonos
Sedição de 1830,3,Sedição de 1830
Sepé Tiaraju,3,Sepé Tiaraju
Conjuração Mineira (1789),3,Conjuração Mineira (1789)
Conjuração Carioca (1794),3,Conjuração Carioca (1794)
Conjuração Baiana (1796),3,Conjuração Baiana (1796)
Conjuração Pernambucana,3,Conjuração Pernambucana
"França Antártica - francesa, Rio de Janeiro (1555-1567)",3,"França Antártica - francesa, Rio de Janeiro (1555-1567)"
"Confederação dos Tamoios - revolta indígena, Rio de Janeiro e São Paulo (1556-1567)[2]",3,"Confederação dos Tamoios - revolta indígena, Rio de Janeiro e São Paulo (1556-1567)[2]"
"Guerra dos Aimorés - índios contra luso-brasileiros, Bahia (1555-1673)",3,"Guerra dos Aimorés - índios contra luso-brasileiros, Bahia (1555-1673)"
