lemma,poscode,surface
Academia Militar das Agulhas Negras,3,Academia Militar das Agulhas Negras
Aldridge College,3,Aldridge College
American University,3,American University
Andrews,3,Andrews
Anglo-Americano,3,Anglo-Americano
Associação Mariliense de Ensino,3,Associação Mariliense de Ensino
Ateneu Sergipense,3,Ateneu Sergipense
Ateneu Teixeira Mendes,3,Ateneu Teixeira Mendes
Bowling Green,3,Bowling Green
Castro Alves,3,Castro Alves
Centro de Ensino Unificado de Brasília (CEUB),3,Centro de Ensino Unificado de Brasília (CEUB)
Colégio 15 de Novembro,3,Colégio 15 de Novembro
Colégio Abílio,3,Colégio Abílio
Colégio Alfredo Gomes,3,Colégio Alfredo Gomes
Colégio Anchieta,3,Colégio Anchieta
Colégio Andrews,3,Colégio Andrews
Colégio Anglo-Americano,3,Colégio Anglo-Americano
Colégio Antônio Vieira,3,Colégio Antônio Vieira
Colégio Arquidiocesano,3,Colégio Arquidiocesano
Colégio Castelo Branco,3,Colégio Castelo Branco
Colégio Comercial São João,3,Colégio Comercial São João
Colégio Conceição,3,Colégio Conceição
Colégio Diocesano Pio XI,3,Colégio Diocesano Pio XI
Colégio Diocesano de Uberaba,3,Colégio Diocesano de Uberaba
Colégio Dom Fernando,3,Colégio Dom Fernando
Colégio Estadual do Amazonas,3,Colégio Estadual do Amazonas
Colégio Lafayette,3,Colégio Lafayette
Colégio Lassalista São José,3,Colégio Lassalista São José
Colégio Mallet Soares,3,Colégio Mallet Soares
Colégio Militar,3,Colégio Militar
Colégio Militar da Nação,3,Colégio Militar da Nação
Colégio Militar de Porto Alegre,3,Colégio Militar de Porto Alegre
Colégio Militar do Rio de Janiero,3,Colégio Militar do Rio de Janiero
Colégio Mineiro,3,Colégio Mineiro
Colégio Nascimento,3,Colégio Nascimento
Colégio Nazaré,3,Colégio Nazaré
Colégio Notre Dame de Sion,3,Colégio Notre Dame de Sion
Colégio Nóbrega,3,Colégio Nóbrega
Colégio Paula Freitas,3,Colégio Paula Freitas
Colégio Pio XI,3,Colégio Pio XI
Colégio Rio,3,Colégio Rio
Colégio São Bento,3,Colégio São Bento
Colégio São Estanislau,3,Colégio São Estanislau
Colégio São Francisco,3,Colégio São Francisco
Colégio São João,3,Colégio São João
Colégio São Luís,3,Colégio São Luís
Colégio São Vicente de Paula,3,Colégio São Vicente de Paula
Colégio São Vicente de Paulo,3,Colégio São Vicente de Paulo
Colégios Nazaré,3,Colégios Nazaré
Convento do Carmo e Tarquínio,3,Convento do Carmo e Tarquínio
Economic Institute,3,Economic Institute
Escola Brasileira,3,Escola Brasileira
Escola José Veríssimo,3,Escola José Veríssimo
Escola Modelo Caetano de Faria,3,Escola Modelo Caetano de Faria
Escola Nacional de Guerra,3,Escola Nacional de Guerra
Escola Naval,3,Escola Naval
Escola Normal Secundária,3,Escola Normal Secundária
Escola Politécnica,3,Escola Politécnica
Escola Politécnica de Liège,3,Escola Politécnica de Liège
Escola Politécnica de São Paulo,3,Escola Politécnica de São Paulo
Escola Politécnica do Rio de Janeiro,3,Escola Politécnica do Rio de Janeiro
Escola Técnica Federal de Sergipe,3,Escola Técnica Federal de Sergipe
Escola Técnica de Comércio de São Caetano,3,Escola Técnica de Comércio de São Caetano
Escola de Estado-Maior da Aeronáutica,3,Escola de Estado-Maior da Aeronáutica
Escola de Sociologia e Política,3,Escola de Sociologia e Política
Externato São Rafael,3,Externato São Rafael
Faculdade de Direito,3,Faculdade de Direito
Faculdade de Direito de São Paulo,3,Faculdade de Direito de São Paulo
Faculdade de Engenharia da Universidade Federal do Pará,3,Faculdade de Engenharia da Universidade Federal do Pará
Faculdade de Medicina da Universidade Federal Fluminense,3,Faculdade de Medicina da Universidade Federal Fluminense
Faculdade de Medicina da Universidade de Minas,3,Faculdade de Medicina da Universidade de Minas
Faculdade de Medicina do Rio de Janeiro,3,Faculdade de Medicina do Rio de Janeiro
Ginásio Amazonense,3,Ginásio Amazonense
Ginásio Anchieta,3,Ginásio Anchieta
Ginásio Balsense,3,Ginásio Balsense
Ginásio Bittencourt da Silva,3,Ginásio Bittencourt da Silva
Ginásio Carneiro Ribeiro,3,Ginásio Carneiro Ribeiro
Ginásio Espírito-Santense,3,Ginásio Espírito-Santense
Ginásio Estadual,3,Ginásio Estadual
Ginásio Mineiro,3,Ginásio Mineiro
Ginásio Moura Santos,3,Ginásio Moura Santos
Ginásio Municipal Dom Silvério,3,Ginásio Municipal Dom Silvério
Ginásio Nacional,3,Ginásio Nacional
Ginásio Noturno dos Trabalhadores,3,Ginásio Noturno dos Trabalhadores
Ginásio Paranaense,3,Ginásio Paranaense
Ginásio Paulista,3,Ginásio Paulista
Ginásio Perdizes,3,Ginásio Perdizes
Ginásio Pernambucano,3,Ginásio Pernambucano
Ginásio Santista,3,Ginásio Santista
Ginásio Santo Antônio de Pádua,3,Ginásio Santo Antônio de Pádua
Ginásio São José,3,Ginásio São José
Ginásio São Luís,3,Ginásio São Luís
Ginásio Vinte,3,Ginásio Vinte
Ginásio de Pernambuco,3,Ginásio de Pernambuco
Hurtwood House College of England,3,Hurtwood House College of England
Hyde Craft College,3,Hyde Craft College
Instituto Depuich,3,Instituto Depuich
Instituto Fernandes,3,Instituto Fernandes
Instituto Gammon,3,Instituto Gammon
Instituto Lafayette,3,Instituto Lafayette
Instituto Lauro Sodré,3,Instituto Lauro Sodré
Instituto São Sebastião,3,Instituto São Sebastião
Liceu,3,Liceu
Liceu Maranhense,3,Liceu Maranhense
Liceu Teófilo Otoni,3,Liceu Teófilo Otoni
Liceu de Goiás,3,Liceu de Goiás
Liceu de Humanidades,3,Liceu de Humanidades
Nossa Senhora da Soledade,3,Nossa Senhora da Soledade
Nossa Senhora do Carmo,3,Nossa Senhora do Carmo
Pais de Carvalho,3,Pais de Carvalho
Rugby and Christ Church,3,Rugby and Christ Church
Santo Inácio,3,Santo Inácio
Seafield Park Engineering College,3,Seafield Park Engineering College
Seminário Santo Antônio,3,Seminário Santo Antônio
Seminário de Amargosa (BA),3,Seminário de Amargosa (BA)
Seminário de Diamantina (MG),3,Seminário de Diamantina (MG)
Seminário de Mariana (MG),3,Seminário de Mariana (MG)
Sácre-Coeur de Jésus,3,Sácre-Coeur de Jésus
São Vicente de Paula,3,São Vicente de Paula
Tulane University,3,Tulane University
Universidade Católica de Salvador,3,Universidade Católica de Salvador
AAP — Aquisição e Administação de Patrimônios,3,AAP — Aquisição e Administação de Patrimônios
ABAG,3,ABAG
ABDIB,3,ABDIB
ABE,3,ABE
ABERT,3,ABERT
ABI,3,ABI
ABIFA,3,ABIFA
ABIMAQ,3,ABIMAQ
ABL,3,ABL
ABM,3,ABM
ABRH Associação Brasileira de Recursos Hídricos,3,ABRH Associação Brasileira de Recursos Hídricos
ABRINQ,3,ABRINQ
ACI,3,ACI
ACIJ,3,ACIJ
ACIT,3,ACIT
ACRJ,3,ACRJ
ACSP,3,ACSP
ADEMI,3,ADEMI
